Company,Year_term,Time-of-day lighting (customers),Time-of-day lighting (kW),Time-of-day lighting (MWh),High voltage power B/demand response (customers),High voltage power B/demand response (kW),High voltage power B/demand response (MWh),Extra-high voltage power/demand response (customers),Extra-high voltage power/demand response (kW),Extra-high voltage power/demand response (MWh),Midnight power (kW),Midnight power (customers),Midnight power (MWh),Snow melting power (kW),Snow melting power (customers),Snow melting power (MWh)
会社名,年期,時間帯別電灯_契約口数,時間帯別電灯_契約電力,時間帯別電灯_使用電力量,需給調整高圧B_契約口数,需給調整高圧B_契約電力,需給調整高圧B_使用電力量,需給調整特高_契約口数,需給調整特高_契約電力,需給調整特高_使用電力量,深夜電力_契約電力,深夜電力_契約口数,深夜電力_使用電力量,融雪用電力_契約電力,融雪用電力_契約口数,融雪用電力_使用電力量
Hokuriku,199803,16666,112340,18699,1,2000,1148,30,791800,185673,376900,88070,40947,66874,3590,1578
Kansai,199803,64961,244861,60301,3,5040,1720,116,3546200,898841,1292333,305662,136610,,,
Chugoku,199803,84976,546097,87854,17,18695,5212,93,2791950,740623,917843,270484,102517,,,
Shikoku,199803,12552,101142,14283,12,32120,10402,47,927170,268652,664285,168953,69494,0,0,0
Kyushu,199803,30302,229289,33218,19,31350,8611,100,2364950,654525,1505072,329941,135953,,,
Okinawa,199803,3651,,3503,2,3000,1102,3,71500,18991,20938,3100,1232,,,
Hokkaido,199802,49872,267755,68357,1,15000,1010,18,955100,146982,215651,56819,24928,592458,45810,186716
Tohoku,199802,17389,140628,30704,11,25320,11946,90,2050500,551013,869883,208517,103898,294127,29153,52450
Tokyo,199802,67024,455026,91548,6,8400,2174,131,4762420,1224599,2041437,490912,247479,,,
Chubu,199802,28305,236375,41707,1,2800,612,53,1915000,688715,2562752,570524,265765,,,
Hokuriku,199802,16261,109275,20678,1,2000,1028,30,791800,172514,377594,88330,44487,139642,8126,9620
Kansai,199802,64852,242882,69883,3,5040,1544,116,3546200,885796,1300738,308889,154428,,,
Chugoku,199802,83964,539446,101633,17,18695,4602,93,2791850,703242,920540,271493,117229,,,
Shikoku,199802,12449,100343,15980,12,32120,9843,47,915170,241346,661694,168381,77289,0,0,0
Kyushu,199802,28521,219399,36694,19,31350,7999,100,2364950,606591,1502015,330710,145421,,,
Okinawa,199802,3634,,4678,2,3000,1141,3,71500,18144,20670,3029,1580,,,
Hokkaido,199801,49479,265046,74580,1,15000,1173,18,955100,146884,216290,56999,27416,587697,45439,106854
Tohoku,199801,16992,137218,35766,11,25320,12755,90,2050500,594279,869251,208825,122634,293263,29057,31144
Tokyo,199801,66503,451118,102354,6,8400,2262,131,4762420,1260268,2043090,492299,271605,,,
Chubu,199801,27960,233411,49542,1,2800,608,53,1915000,697497,2564561,571154,307555,,,
Hokuriku,199801,15936,107004,22635,1,2000,1081,30,791800,199485,377884,88462,49690,142674,8315,6169
Kansai,199801,64201,239628,76738,3,5040,1676,116,3546200,952915,1304212,310004,174417,,,
Chugoku,199801,83012,533276,103951,17,18695,4616,93,2791850,756636,922824,272214,121360,,,
Shikoku,199801,12379,99773,16950,12,32620,10605,47,927170,264796,660847,168199,82316,0,0,0
Kyushu,199801,26650,208543,40923,19,31350,8417,100,2364950,660815,1505150,331940,164352,,,
Okinawa,199801,3609,,5145,2,3000,1379,3,71500,19530,20346,2944,1473,,,
Hokkaido,199712,48767,260260,51438,1,15000,2061,18,955100,155142,217647,57368,20315,356770,21982,20905
Tohoku,199712,16694,134508,26154,11,25320,13599,90,2050500,638084,869431,209129,91393,265848,25222,6819
Tokyo,199712,66009,447503,78558,6,8400,2376,131,4760620,1351133,2046014,492825,203171,,,
Chubu,199712,27498,230098,34994,1,2800,641,53,1915000,716938,2563846,571258,209873,,,
Hokuriku,199712,15546,104153,16115,1,2000,1148,30,791800,221781,377924,88580,36969,116693,5625,2208
Kansai,199712,63014,233378,51413,3,5040,1755,116,3534500,995500,1304629,310281,122381,,,
Chugoku,199712,81525,523851,78039,16,17695,4853,92,2784050,725075,925855,273165,93368,,,
Shikoku,199712,12245,98608,13096,12,32570,10868,47,927170,279883,658988,167800,65358,0,0,0
Kyushu,199712,24712,197047,28472,18,32000,9356,100,2367950,691874,1506250,331986,114398,,,
Okinawa,199712,3585,,5187,2,3000,1130,3,71500,22091,19899,2832,1331,,,
Hokkaido,199711,47975,254794,46360,1,15000,2233,18,935100,177249,218481,57661,20167,128409,3743,6740
Tohoku,199711,16211,130056,23253,11,25320,13200,90,2048000,659071,868772,209433,83875,93028,6697,139
Tokyo,199711,65238,441907,77006,6,8400,2323,131,4760620,1487051,2048367,493728,190686,,,
Chubu,199711,26966,226288,39218,1,2800,625,53,1915000,791640,2563893,571353,224020,,,
Hokuriku,199711,14976,100399,14822,1,2000,1086,30,789800,229652,378442,88749,35884,55715,2094,104
Kansai,199711,61993,229154,50221,3,5040,1927,116,3519500,1025985,1306390,310800,122765,,,
Chugoku,199711,79505,511166,75386,16,17695,5311,92,2784050,766332,931160,274715,92800,,,
Shikoku,199711,12076,97069,11806,12,32570,10903,47,925170,283291,656411,167199,57660,0,0,0
Kyushu,199711,23290,187525,27007,18,32000,9356,100,2367950,693961,1503745,331709,112854,,,
Okinawa,199711,3564,,4847,2,3000,1235,3,71500,20322,19493,2740,1179,,,
Hokkaido,199710,47124,248150,36453,1,15000,2393,18,935100,187579,218650,57933,17279,32095,1863,809
Tohoku,199710,15724,124567,19340,11,25320,13883,90,2047800,631685,868379,209929,70755,1669,132,1
Tokyo,199710,64402,436643,71879,6,8400,2649,131,4760620,1466727,2050936,494349,163019,,,
Chubu,199710,26604,223386,34456,1,2800,651,53,1906900,765908,2564754,571753,172188,,,
Hokuriku,199710,14420,96810,12820,1,2000,1226,30,789800,243067,380044,89126,31362,1073,41,0
Kansai,199710,60788,224340,42434,3,5040,2038,116,3516500,1067573,1307098,310970,95982,,,
Chugoku,199710,77456,498173,62905,16,17695,5195,92,2784050,801965,936887,276378,73578,,,
Shikoku,199710,11951,96019,10934,12,32570,10584,47,921620,278917,654599,166824,49025,0,0,0
Kyushu,199710,22187,180201,24279,18,32000,9879,99,2364150,725654,1501707,331429,92217,,,
Okinawa,199710,3498,,3729,2,3000,1199,3,71500,17391,19422,2690,855,,,
Hokkaido,199709,46267,242666,31748,1,15000,3550,18,935100,201282,219626,58197,15825,3948,220,79
Tohoku,199709,15370,120743,16608,10,23720,12616,90,2047800,598079,869059,210413,55278,,,
Tokyo,199709,63638,431917,67421,6,8400,2713,131,4760620,1309265,2055523,495436,127903,,,
Chubu,199709,26239,220180,31230,1,2800,663,53,1906900,759492,2566392,572236,134484,,,
Hokuriku,199709,14182,95007,12091,1,2000,562,30,786300,213660,380665,89321,25473,0,0,0
Kansai,199709,59787,220108,44992,3,5040,1969,117,3522700,1027233,1309924,311514,73408,,,
Chugoku,199709,75742,487319,62353,16,17695,5190,90,2648050,738139,942947,278107,57174,,,
Shikoku,199709,11850,95203,10947,12,32570,10764,47,921320,206532,653148,166505,37255,0,0,0
Kyushu,199709,21546,176154,22705,18,32000,9871,99,2364150,638691,1500767,331307,73630,,,
Okinawa,199709,3389,,2847,2,3000,1325,3,71500,20270,19377,2658,595,,,
Hokkaido,199708,45678,238930,31634,1,15000,3639,18,935100,180613,220415,58426,16128,6745,336,167
Tohoku,199708,15014,117627,17946,10,23720,12963,90,2046800,558562,869580,210789,60653,,,
Tokyo,199708,62936,427455,71765,6,8400,2979,131,4760620,1256271,2058914,496344,138511,,,
Chubu,199708,25845,216834,32682,1,2800,619,53,1903900,706639,2569310,573020,157324,,,
Hokuriku,199708,13843,92539,12427,1,2000,66,30,786300,190722,381260,89511,26056,0,0,0
Kansai,199708,59054,217184,48639,3,5040,1748,117,3516700,1029409,1313669,312526,85030,,,
Chugoku,199708,74130,477178,66946,16,17695,4947,92,2721750,788278,947727,279544,65795,,,
Shikoku,199708,11785,94523,11311,12,32570,10399,47,921120,223054,652497,166382,39829,0,0,0
Kyushu,199708,20989,172335,21532,18,32000,9658,99,2341650,681093,1501099,331498,77675,,,
Okinawa,199708,3339,,2508,2,3000,1366,3,71500,17633,18798,2560,483,,,
Hokkaido,199707,44902,233730,31879,2,47500,8813,17,902600,189230,220945,58655,17744,25152,770,561
Tohoku,199707,14790,115471,16651,10,23720,12822,90,2001900,554900,869652,211201,66606,,,
Tokyo,199707,62340,422742,67004,6,8400,3053,131,4760620,1293424,2062704,497355,150569,,,
Chubu,199707,25342,212661,28431,1,2800,635,53,1903600,722450,2571573,573630,159908,,,
Hokuriku,199707,13534,90360,11161,1,2000,873,30,786300,205468,381972,89781,27856,0,0,0
Kansai,199707,58014,213075,41016,3,5040,1925,117,3516700,983540,1316549,313276,87360,,,
Chugoku,199707,72798,468602,57757,16,17695,5315,89,2708150,773392,951031,280505,67837,,,
Shikoku,199707,11630,93465,10592,12,32720,11337,47,918920,214492,651168,166106,43371,0,0,0
Kyushu,199707,20448,168425,20213,18,31960,10344,99,2340550,655022,1499784,331415,85305,,,
Okinawa,199707,3296,,2057,2,3000,1244,3,71500,21009,18609,2506,491,,,
Hokkaido,199706,44310,230345,33681,2,47500,7887,17,901600,189011,221705,58909,18832,121042,2524,4398
Tohoku,199706,14553,113289,15759,10,23720,12747,90,2001100,630538,871809,211965,71602,,,1
Tokyo,199706,61850,419224,59963,6,8400,2714,131,4760620,1433402,2067606,498697,163116,,,
Chubu,199706,24994,209886,27166,1,2800,664,53,1898800,771146,2574000,574216,179603,,,
Hokuriku,199706,13211,88054,11029,1,2000,1072,30,786300,223244,382717,90019,32768,0,0,0
Kansai,199706,57057,209172,37647,3,5040,1997,117,3516650,1074408,1320691,314163,99759,,,
Chugoku,199706,71384,459618,59918,15,16095,4946,89,2697250,811843,954864,281633,84735,,,
Shikoku,199706,11538,92624,10313,12,32720,10920,47,918820,249616,650022,165884,49772,0,0,0
Kyushu,199706,20169,166681,18455,18,31960,10185,99,2338550,717892,1498421,331281,93574,,,
Okinawa,199706,3275,,2140,2,3000,1299,3,71500,20524,18553,2479,586,,,
Hokkaido,199705,43809,227409,43465,2,47500,8927,17,908600,205342,222256,59070,23837,291601,8424,15457
Tohoku,199705,14333,111305,19527,10,23720,12170,90,2001100,614022,872557,212344,92209,224,8,4
Tokyo,199705,61242,415091,70891,6,8400,2638,131,4760620,1479632,2068575,498889,209620,,,
Chubu,199705,24705,207368,33355,1,2800,686,53,1898800,768643,2576413,574957,254599,,,
Hokuriku,199705,12664,84373,12946,1,2000,1116,30,786300,221453,384601,90487,40549,0,0,1
Kansai,199705,55876,204337,47984,3,5040,1851,117,3516650,1126040,1323078,314583,139936,,,
Chugoku,199705,69738,449127,64170,13,14850,4005,89,2695250,820395,958414,282727,96612,,,
Shikoku,199705,11425,91891,11381,12,32620,11151,47,913570,285458,649107,165681,59916,0,0,0
Kyushu,199705,19746,163493,21411,17,31790,9565,99,2328550,731504,1495430,330766,121732,,,
Okinawa,199705,3258,,2047,2,3000,1306,3,71500,21984,18469,2431,624,,,
Hokkaido,199704,44377,229181,46063,2,47500,8473,17,894600,186792,222939,59184,24312,470891,23523,73411
Tohoku,199704,14028,108666,21171,10,23720,12266,90,2001100,578248,872199,212407,102521,3639,188,3199
Tokyo,199704,60502,410566,72841,6,8400,2474,131,4760420,1400295,2069467,499138,227977,,,
Chubu,199704,24429,205287,30876,1,2800,670,53,1898800,712807,2576314,575046,264159,,,
Hokuriku,199704,12325,82064,13656,1,2000,1129,30,786300,217945,384849,90658,43300,1025,39,174
Kansai,199704,52991,193563,47433,3,5040,1699,117,3516650,1074594,1320047,313062,141482,,,
Chugoku,199704,68526,441341,70358,10,12030,3751,87,2686250,808177,959028,282950,108557,,,
Shikoku,199704,11328,91202,12555,12,32620,11128,47,913570,273333,646973,165151,69034,0,0,0
Kyushu,199704,19385,160838,21703,17,31790,10012,99,2320550,703906,1486969,328294,139365,,,
Okinawa,199704,3275,,2487,2,3000,1452,3,71500,15561,18295,2381,812,,,
Hokkaido,199703,41556,215826,48759,2,48000,6952,17,884600,176237,225356,60110,24534,533175,40239,113204
Tohoku,199703,13231,103004,20583,10,23770,12801,93,2010800,604098,869557,212344,100573,247925,23656,20250
Tokyo,199703,58629,399678,70833,6,8700,2447,132,4605320,1418455,2062897,496005,227413,,,
Chubu,199703,23609,199687,31556,1,2400,680,53,2112600,804170,2568492,573223,255289,,,
Hokuriku,199703,11604,77570,13241,1,2000,1117,30,783300,213523,383943,90375,42148,65532,3519,3647
Kansai,199703,49478,180293,49796,3,5040,2054,119,3561350,1051287,1315607,310826,146344,,,
Chugoku,199703,66907,431237,70378,9,12670,4106,87,2664750,792533,959188,282867,109747,,,
Shikoku,199703,11239,90589,12804,11,27850,8768,48,933250,269564,644186,164412,69374,0,0,0
Kyushu,199703,18888,157212,23395,17,31120,9787,98,2317050,700226,1474560,326191,135485,,,
Okinawa,199703,3279,,2775,2,3000,1112,3,66500,18552,18036,2309,892,,,
Hokkaido,199702,40561,210157,50977,2,48000,4943,17,884600,141272,223365,59685,25500,530680,39803,125255
Tohoku,199702,12929,100628,22103,10,23770,11099,93,2010800,567660,867797,212511,108251,273070,27561,42105
Tokyo,199702,57858,394266,77529,6,8700,2176,131,4605320,1236661,2067036,497787,252665,,,
Chubu,199702,22776,193573,34598,1,2400,630,53,2112600,736999,2560205,572211,277540,,,
Hokuriku,199702,11413,75589,14781,1,2000,1032,30,783300,190270,383478,90347,45874,134011,7698,10373
Kansai,199702,49079,178638,56375,3,5040,1858,119,3561350,979176,1324122,313642,162399,,,
Chugoku,199702,65227,420159,81429,4,7850,2661,87,2664750,712918,964722,284646,126964,,,
Shikoku,199702,11200,90057,14191,11,27850,7607,48,933250,249135,643278,164202,76585,0,0,0
Kyushu,199702,18742,155490,26698,17,31120,9643,98,2317050,619837,1460771,325193,145556,,,
Okinawa,199702,3263,,3686,2,3000,1179,3,66500,19084,17874,2261,1159,,,
Hokkaido,199701,40050,206806,57869,2,48000,5143,17,884600,152321,224006,59825,28548,525055,39251,104101
Tohoku,199701,12600,97857,24985,10,23770,11792,93,2010800,586707,867170,212898,123397,271110,27374,26541
Tokyo,199701,57176,390672,88728,6,8700,2284,131,4605320,1283911,2068733,497982,286505,,,
Chubu,199701,22431,190853,40355,1,2400,653,53,2112600,732051,2561898,572833,314203,,,
Hokuriku,199701,11260,74375,16564,1,2000,1120,30,783300,202274,383491,90410,51871,136645,7935,6351
Kansai,199701,48358,175862,62188,3,5040,1888,119,3561350,1021372,1328925,315037,184445,,,
Chugoku,199701,63388,408415,82703,4,7850,2563,87,2664750,718544,970252,286303,133214,,,
Shikoku,199701,11056,88891,15214,11,27850,8121,48,933250,257875,642171,163980,84751,0,0,0
Kyushu,199701,18471,153402,31370,17,31120,9687,98,2317050,660904,1456940,324676,166189,,,
Okinawa,199701,3249,,4357,2,3000,1151,3,66500,18627,17782,2227,1283,,,
Hokkaido,199612,39408,202650,43594,2,48000,5618,17,884600,167412,225003,60201,23231,398472,21585,43237
Tohoku,199612,12079,93865,17502,10,23770,12172,93,2010800,615149,865635,212934,88371,245081,23556,6763
Tokyo,199612,56643,386398,67662,6,8700,2500,131,4605320,1381686,2071401,498850,216739,,,
Chubu,199612,22132,188137,30744,1,2400,697,53,2111100,750813,2562123,572980,235751,,,
Hokuriku,199612,11017,72617,12316,1,2000,1144,30,783300,216875,383256,90477,39703,111642,5373,2737
Kansai,199612,47420,171866,44447,3,5040,1866,119,3539350,1081784,1330849,315717,136422,,,
Chugoku,199612,61410,395953,64823,4,7850,2775,87,2664750,739223,974632,287654,108626,,,
Shikoku,199612,10893,87264,11471,11,27850,8602,48,933250,269849,640655,163651,64260,0,0,0
Kyushu,199612,18113,150441,23369,17,30920,10552,98,2317050,682332,1449246,323142,122267,,,
Okinawa,199612,3236,,4369,2,3000,1179,3,66500,20503,17829,2206,1149,,,
Hokkaido,199611,38446,195729,37518,2,48000,6254,17,884600,151749,226281,60654,22140,147680,7007,5995
Tohoku,199611,11842,91921,17002,10,23770,12184,93,2010800,591724,863096,212801,86908,96957,6982,317
Tokyo,199611,55738,380521,69265,6,8700,2505,131,4605320,1405351,2078919,499757,211143,,,
Chubu,199611,21778,185461,31967,1,2400,633,53,2111100,770583,2564431,573275,224482,,,
Hokuriku,199611,10748,70760,10903,1,2000,1104,30,783300,212560,383061,90546,36915,53938,2034,180
Kansai,199611,46693,168995,40288,3,5040,2049,119,3539350,1074925,1333764,316473,128666,,,
Chugoku,199611,58638,378342,54482,4,7850,2774,90,2668750,754208,982443,289879,95707,,,
Shikoku,199611,10683,85258,10268,11,27850,8494,48,932250,247632,639267,163359,56589,0,0,0
Kyushu,199611,17545,145688,21166,17,30920,10218,98,2317050,661885,1443828,322052,105694,,,
Okinawa,199611,3187,,4098,2,3000,1327,3,63200,22356,17856,2199,971,,,
Hokkaido,199610,37630,190431,27703,2,48000,7497,17,884600,160775,227180,60939,17986,20773,953,616
Tohoku,199610,11638,90226,14961,10,23050,12340,93,2010800,601128,864098,213394,74009,2031,140,2
Tokyo,199610,54886,375466,57020,6,8700,2619,131,4605320,1379072,2079329,501092,161334,,,
Chubu,199610,21476,182967,26818,1,2400,619,53,2111900,755553,2565780,573825,171200,,,
Hokuriku,199610,10440,68734,9477,1,2000,1131,30,783300,228399,383560,90762,32191,1327,50,2
Kansai,199610,45551,164063,31840,3,5040,2032,119,3539350,1100403,1336145,317047,97096,,,
Chugoku,199610,55942,361301,45399,4,7850,2852,90,2668450,791039,991492,292382,77698,,,
Shikoku,199610,10518,83787,9065,11,27100,8570,48,932250,239486,637728,163068,45557,0,0,0
Kyushu,199610,16958,140985,19161,17,30920,10443,98,2315050,689620,1439763,321187,87572,,,
Okinawa,199610,3115,,3165,2,3000,1196,3,63200,23255,17799,2172,689,,,
Hokkaido,199609,36869,185542,24967,2,48000,8151,17,884600,185273,223468,61214,16829,3600,105,68
Tohoku,199609,11256,87214,12970,10,23050,11766,93,2006100,562871,863586,213705,60354,10,2,0
Tokyo,199609,54088,370683,57361,6,8700,2661,131,4601320,1269509,2083379,501993,143305,,,
Chubu,199609,21183,180685,26218,1,2400,604,53,2100400,711290,2568584,574618,149936,,,
Hokuriku,199609,10149,66647,8673,1,2000,718,30,783300,202775,383236,90746,26365,0,0,0
Kansai,199609,44981,161686,35358,3,5040,1983,119,3532350,1017276,1339797,317962,81546,,,
Chugoku,199609,53031,342980,44675,4,7850,2640,90,2666450,741177,1002388,295296,63916,,,
Shikoku,199609,10420,83053,9159,10,25150,8669,48,928950,187100,636725,162909,36448,0,0,0
Kyushu,199609,16606,138001,17509,17,30920,10164,98,2323450,624159,1437853,320785,71233,,,
Okinawa,199609,3025,,2620,2,3000,1087,3,59800,18823,17822,2172,505,,,
Hokkaido,199608,36409,181942,25920,2,48000,6486,17,884600,152657,232400,61587,18394,7202,171,111
Tohoku,199608,11012,85278,12186,10,23050,12393,93,2006100,528920,862751,213997,57387,41,2,1
Tokyo,199608,53216,365466,57762,6,8700,2736,131,4593320,1196803,2088576,503329,138237,,,
Chubu,199608,21084,179241,26473,1,2400,558,53,2100400,659860,2570522,575291,152550,,,
Hokuriku,199608,9992,65508,9512,1,2000,717,30,783300,189125,383524,90899,25768,0,0,0
Kansai,199608,43896,157635,42901,3,5040,1637,119,3532350,986163,1343577,318958,84622,,,
Chugoku,199608,51031,330515,51679,4,7850,2461,90,2666450,762800,1010225,297460,67707,,,
Shikoku,199608,10360,82624,10685,10,25150,8864,48,928450,215889,635772,162719,38197,0,0,0
Kyushu,199608,16263,135303,17354,17,30920,10099,98,2311750,607463,1436193,320503,71304,,,
Okinawa,199608,2943,,2261,2,3000,1279,3,59800,15625,17793,2163,349,,,
Hokkaido,199607,35584,176627,24424,2,48000,7995,17,884600,153402,229642,61966,18744,26245,623,405
Tohoku,199607,10872,83886,12606,10,22730,12249,93,2006100,510945,862422,214297,70796,9,3,0
Tokyo,199607,52572,360749,51869,6,8700,2809,131,4593320,1250843,2091005,504082,152661,,,
Chubu,199607,20741,176006,21719,2,4900,1204,52,2092700,693801,2572994,576039,158108,,,
Hokuriku,199607,9828,64200,8155,1,2000,1095,30,783300,206544,383330,90907,28634,0,0,0
Kansai,199607,42774,153499,30382,3,5040,1881,119,3531600,967331,1347271,319884,88389,,,
Chugoku,199607,48406,314051,38126,4,7850,2783,90,2666250,732608,1019133,299865,73331,,,
Shikoku,199607,10241,81512,8999,10,25150,9203,48,921450,230328,634387,162431,42571,0,0,0
Kyushu,199607,15790,131609,15311,17,30920,10444,98,2310150,619157,1434499,320215,82033,,,
Okinawa,199607,2874,,1903,2,3000,1337,3,59800,15234,17804,2155,337,,,
Hokkaido,199606,35025,173645,27226,2,48000,8065,17,884600,169077,230458,62220,21108,129399,2727,6891
Tohoku,199606,10626,82367,12532,10,22730,11895,93,2004100,614836,863357,214916,77709,118,11,76
Tokyo,199606,51906,356337,52780,6,8700,2576,131,4593320,1368620,2095713,505166,179576,,,
Chubu,199606,20586,174499,21878,2,4900,1641,52,2086700,787071,2576033,576943,181074,,,
Hokuriku,199606,9579,62581,8143,1,2000,1055,30,783300,211822,383373,90974,32571,0,0,0
Kansai,199606,42115,150920,29576,3,5040,1999,119,3531600,1062128,1351036,320948,101672,,,
Chugoku,199606,46083,299269,41319,4,7850,2761,90,2664250,734842,1027065,301893,95550,,,
Shikoku,199606,10166,80801,8841,10,25430,8889,48,920950,267564,633434,162214,47007,0,0,0
Kyushu,199606,15142,127423,14553,17,30920,10325,98,2307050,685001,1434080,320285,90010,,,
Okinawa,199606,2826,,1853,2,3000,1173,3,59800,17931,17703,2129,495,,,
Hokkaido,199605,34759,171563,34754,2,48000,8797,17,884600,170789,231719,62597,26119,283139,8533,18664
Tohoku,199605,10358,79925,15216,10,22730,11911,93,2004100,595036,865205,215547,100055,347,29,63
Tokyo,199605,51035,350596,59996,6,8700,2362,131,4593320,1400284,2099965,506201,229696,,,
Chubu,199605,20362,172500,28468,2,4900,1450,52,2086700,760247,2578584,577830,294857,,,
Hokuriku,199605,9245,60433,10254,1,2000,1106,30,783300,211586,384196,91241,43717,0,0,2
Kansai,199605,41077,147158,41507,3,5040,1823,119,3531600,1112075,1352365,321199,161782,,,
Chugoku,199605,43842,284961,43625,4,7850,2603,90,2664850,757255,1033398,303733,114299,,,
Shikoku,199605,10080,80256,10655,10,25330,9063,46,910150,284840,632632,162049,65677,0,0,0
Kyushu,199605,14681,123833,17350,17,30920,9994,97,2319900,699109,1430855,319368,137665,,,
Okinawa,199605,2818,,1705,2,3000,1205,3,59800,19224,17747,2107,543,,,
Hokkaido,199604,35143,172528,36450,2,49000,7121,17,884600,150227,231674,62598,26567,416700,22494,64941
Tohoku,199604,10078,77535,16930,10,22730,11076,93,2004100,572963,859848,215659,112072,1744,178,7362
Tokyo,199604,50518,346655,63293,6,8700,2146,131,4593320,1325639,2101800,506472,251762,,,
Chubu,199604,20120,170211,25746,2,4900,1128,52,2086700,701834,2580422,578424,290412,,,
Hokuriku,199604,8998,58795,10732,1,2000,995,30,783300,212535,384398,91339,45399,265,13,475
Kansai,199604,38536,137943,39825,3,5040,1761,119,3531600,1031055,1349695,319767,155762,,,
Chugoku,199604,41993,273180,45770,4,7850,3057,90,2663850,749000,1037655,304817,123979,,,
Shikoku,199604,9951,79273,11417,10,25330,8688,46,910150,256647,631134,161673,71435,0,0,0
Kyushu,199604,14238,119909,16524,17,30920,9659,97,2318800,676360,1420805,316260,146312,,,
Okinawa,199604,2805,,1898,2,3080,1233,3,59800,19154,17799,2117,669,,,
Hokkaido,199603,32413,160536,38654,2,49000,6242,17,863600,143945,236689,64040,27890,453572,32384,107684
Tohoku,199603,9476,73454,15171,10,23130,12277,95,2127200,607358,856960,215412,102281,231915,22454,26332
Tokyo,199603,48710,336027,61975,6,8700,2202,131,4728950,1382067,2096530,504133,248816,,,
Chubu,199603,19704,167417,27390,2,4900,1801,53,2072050,765095,2576997,577035,282617,,,
Hokuriku,199603,8694,56711,10745,1,2000,947,31,852200,210388,383302,91012,45498,63275,3393,5683
Kansai,199603,35884,128741,43361,3,4940,1779,118,3495600,1022738,1347635,318184,165505,0,0,0
Chugoku,199603,39799,259431,48258,3,5250,2431,90,2631250,750818,1041735,305836,133628,,,
Shikoku,199603,9757,78021,11709,10,25260,8887,44,902700,260612,630831,161571,72275,,,
Kyushu,199603,14210,119499,18190,16,29740,9783,92,2261150,643720,1410502,314665,140502,,,
Okinawa,199603,2792,,2429,2,3080,1125,3,54800,20896,17735,2096,875,,,
Hokkaido,199602,31602,156405,39562,2,49000,3909,17,863600,125776,235082,63648,28156,450615,32284,139067
