Company,Year_term,Transmission and distribution losses (%),Integrated loss factor (%)
会社名,年期,送配電損失率,総合損失率
Tokyo,199103,9.51,12.95
Chubu,199103,6.98,10.26
Hokuriku,199103,7.12,8.68
Kansai,199103,6.98,10.34
Chugoku,199103,7.42,11.23
Shikoku,199103,7.9,12.03
Kyushu,199103,7.42,11.1
Okinawa,199103,13.43,17.26
Hokkaido,199102,-0.25,5.25
Tohoku,199102,5.89,8.36
Tokyo,199102,2.96,6.61
Chubu,199102,4.47,8.09
Hokuriku,199102,5.24,6.99
Kansai,199102,3.78,7.25
Chugoku,199102,3.98,7.95
Shikoku,199102,3.1,7.68
Kyushu,199102,4.79,8.63
Okinawa,199102,-1,4.25
Hokkaido,199101,9.48,14.79
Tohoku,199101,4.08,6.66
Tokyo,199101,2.84,6.65
Chubu,199101,2.12,5.88
Hokuriku,199101,1.43,3.27
Kansai,199101,3.12,6.83
Chugoku,199101,4.74,8.67
Shikoku,199101,6.18,11.19
Kyushu,199101,2.19,6.17
Okinawa,199101,2.92,7.6
Hokkaido,199012,13.4,18.54
Tohoku,199012,12.78,15.18
Tokyo,199012,10.38,13.97
Chubu,199012,10.68,13.97
Hokuriku,199012,9.73,11.13
Kansai,199012,10.76,14.19
Chugoku,199012,11.06,14.69
Shikoku,199012,14.66,19.19
Kyushu,199012,12.86,16.42
Okinawa,199012,3.74,8.08
Hokkaido,199011,7.36,12.46
Tohoku,199011,8.97,11.69
Tokyo,199011,5.29,9.11
Chubu,199011,2.93,6.54
Hokuriku,199011,5.51,7.38
Kansai,199011,3.12,7.04
Chugoku,199011,4.96,8.78
Shikoku,199011,6.23,11.19
Kyushu,199011,3.27,7.12
Okinawa,199011,-3.11,-1.67
Hokkaido,199010,8.17,13.52
Tohoku,199010,2.02,5.03
Tokyo,199010,2.83,6.67
Chubu,199010,4.22,7.65
Hokuriku,199010,3.59,5.41
Kansai,199010,3.41,7.27
Chugoku,199010,4.05,7.93
Shikoku,199010,3.22,7.66
Kyushu,199010,-0.74,2.6
Okinawa,199010,-6.13,-1.13
Hokkaido,199009,3.48,8.92
Tohoku,199009,3.14,6.12
Tokyo,199009,-6.13,-1.86
Chubu,199009,-5.76,-1.71
Hokuriku,199009,0.56,2.83
Kansai,199009,-5.93,-1.53
Chugoku,199009,-7.64,-2.88
Shikoku,199009,2.01,6.47
Kyushu,199009,-3.12,0.98
Okinawa,199009,-2.96,1.97
Hokkaido,199008,10.24,14.94
Tohoku,199008,9.4,12.23
Tokyo,199008,8.14,11.75
Chubu,199008,5.97,9.6
Hokuriku,199008,5.59,7.56
Kansai,199008,2.36,6.36
Chugoku,199008,6.69,10.91
Shikoku,199008,5.45,10.24
Kyushu,199008,6.44,10.24
Okinawa,199008,5.46,9.91
Hokkaido,199007,12.24,17.17
Tohoku,199007,10.33,13.03
Tokyo,199007,13.19,16.69
Chubu,199007,12.8,16.15
Hokuriku,199007,10.52,12.26
Kansai,199007,15.92,19.32
Chugoku,199007,17.79,21.49
Shikoku,199007,16.06,20.23
Kyushu,199007,16.25,19.65
Okinawa,199007,14.57,18.58
Hokkaido,199006,8.17,13.01
Tohoku,199006,8.87,11.28
Tokyo,199006,11.42,14.92
Chubu,199006,11.62,15.1
Hokuriku,199006,7.15,8.82
Kansai,199006,14.69,18.08
Chugoku,199006,12.13,16.37
Shikoku,199006,10.88,15.35
Kyushu,199006,14.99,18.31
Okinawa,199006,18.84,22.69
Hokkaido,199005,8.38,13.09
Tohoku,199005,2.2,4.49
Tokyo,199005,2.22,5.98
Chubu,199005,0.93,4.55
Hokuriku,199005,3.22,4.66
Kansai,199005,2.05,5.85
Chugoku,199005,4.53,8.79
Shikoku,199005,5.13,9.55
Kyushu,199005,2.46,6.43
Okinawa,199005,15.39,19.6
Hokkaido,199004,2.53,7.74
Tohoku,199004,5.97,8.08
Tokyo,199004,0.52,4.36
Chubu,199004,0.27,3.71
Hokuriku,199004,3.52,4.79
Kansai,199004,1.07,5.03
Chugoku,199004,0.91,5.65
Shikoku,199004,4.46,8.74
Kyushu,199004,3.97,7.76
Okinawa,199004,5.7,10.86
Hokkaido,199003,8.03,13.35
Tohoku,199003,6.38,8.98
Tokyo,199003,10.12,13.65
Chubu,199003,9.5,12.62
Hokuriku,199003,7.97,9.22
Kansai,199003,9.45,13.16
Chugoku,199003,9.74,13.68
Shikoku,199003,11.79,16.15
Kyushu,199003,8.6,12.37
Okinawa,199003,11.19,15.72
Hokkaido,199002,-2.79,2.91
Tohoku,199002,3.03,5.89
Tokyo,199002,1.21,5.06
Chubu,199002,1.55,5.1
Hokuriku,199002,3.33,4.84
Kansai,199002,0.51,4.59
Chugoku,199002,0.93,3.47
Shikoku,199002,0.13,5.09
Kyushu,199002,0.05,4.39
Okinawa,199002,-0.38,4.23
Hokkaido,199001,10.75,15.87
Tohoku,199001,6.33,9.06
Tokyo,199001,2.8,6.57
Chubu,199001,1.6,5.3
Hokuriku,199001,1.26,2.91
Kansai,199001,3.18,7.28
Chugoku,199001,6.66,10.71
Shikoku,199001,7.41,12.14
Kyushu,199001,4.36,8.4
Okinawa,199001,5.28,10.41
Hokkaido,198912,14.6,19.46
Tohoku,198912,12.34,14.66
Tokyo,198912,11.3,14.75
Chubu,198912,10.77,14.1
Hokuriku,198912,9.84,11.13
Kansai,198912,10.71,14.36
Chugoku,198912,10.68,14.43
Shikoku,198912,12.59,17.39
Kyushu,198912,11.37,15.24
Okinawa,198912,2.35,6.48
Hokkaido,198911,7.17,12.49
Tohoku,198911,7.91,10.38
Tokyo,198911,5.24,8.84
Chubu,198911,5.18,8.67
Hokuriku,198911,6.59,7.91
Kansai,198911,5.85,9.77
Chugoku,198911,7.4,11.23
Shikoku,198911,7.2,11.92
Kyushu,198911,7.72,11.83
Okinawa,198911,-3.81,0.87
Hokkaido,198910,9.51,14.93
Tohoku,198910,6.03,8.63
Tokyo,198910,1.9,5.57
Chubu,198910,2.13,5.77
Hokuriku,198910,3.91,5.19
Kansai,198910,1.37,5.32
Chugoku,198910,1.88,6.28
Shikoku,198910,4.47,9.56
Kyushu,198910,-2.19,2.34
Okinawa,198910,-9.07,-3.85
Hokkaido,198909,2.84,8.07
Tohoku,198909,3.03,5.8
