Company,Year_term,Specific scale demands (MWh),Total Electricity sales (MWh),Lighting_Meter rate lighting C (kW),Lighting_Temporary power (kW),Lighting_Agricultural power (kW),Lighting_Public street lighting (kW),Lighting_Total Lighting - optional contracs (kW),Lighting_Total Lighting - optional contracs2 (kW),Lighting_Total Lighting (kW),Power_Commercial use power - optional contracts (kW),Power_Commercial use power (kW),Power_Small use power_Low voltage power - optipnal contracts (kW),Power_Small use power_Low voltage power (kW),Power_Small use power_High voltage power A - optinal contracts (kW),Power_Small use power_High voltage power A (kW),Power_Small use power_Total Small use power - optional contracts (kW),Power_Small use power_Total Small use power (kW),Power_High voltage power B - optional contracts (kW),Power_High voltage power B (kW),Power_Other power services_Temporary power (kW),Power_Other power services_Agricultural power (kW),Power_Other power services_Construction power (kW),Power_Other power services_Business use power (kW),Power_Other power services_High voltage power B - optional contracts (kW),Power_Other power services_High voltage power B (kW),Power_Other power services_Commercial use power (kW),Power_Other power services_High voltage power A/B (kW),Power_Other power services_Other power services - optional contracts (kW),Power_Other power services_Total Other power services (kW),Power_Total Power - optional contracts (kW),Power_Total Power (kW),Total of Lighting and Power (kW)
会社名,年期,電灯需要_定額電灯,電灯需要_従量電灯AB,電灯需要_従量電灯C,電灯需要_臨時電灯,電灯需要_農事用電灯,電灯需要_公衆街路灯,電灯需要_電灯計_選択約款,電灯需要_電灯計_選択約款2,電灯需要_電灯合計,電力需要_業務用電力_選択約款,電力需要_業務用電力,電力需要_小口電力_低圧電力_選択約款,電力需要_小口電力_低圧電力,電力需要_小口電力_高圧電力Ａ_選択約款,電力需要_小口電力_高圧電力A,電力需要_小口電力_小口計_選択約款,電力需要_小口電力_計,電力需要_高圧電力Ｂ_選択約款,電力需要_高圧電力Ｂ,電力需要_その他電力_臨時電力,電力需要_その他電力_農事用電力,電力需要_その他電力_建設工事用電力,電力需要_その他電力_事業用電力,電力需要_その他電力_高圧電力Ｂ_選択約款,電力需要_その他電力_高圧電力Ｂ,電力需要_その他電力_業務用電力,電力需要_その他電力_高圧電力AB,電力需要_その他電力_その他電力_選択約款,電力需要_その他電力_その他電力計,電力需要_電力計_選択約款,電力需要_電力計,電灯電力計
Okinawa,201410,,,,,,,,,,286720,687064,,423759,,,,,,,1839,3872,0,11027,,,687064,223348,26391,953541,346155,1377300,
Hokkaido,201409,,,1159289,,,,1755217,1755217,,,,16267,1363992,,,,,,,41558,35365,101,4291,,,,,179704,261019,195971,1625011,
Tohoku,201409,,,3133059,,,,4555094,4555094,,,,67892,3867073,,,,,,,25322,153939,584,8693,,,,,545405,733943,613297,4601016,
Tokyo,201409,,,15043709,,,,12968946,12968946,,,,6674,11946623,,,,,,,124681,213436,2806,56000,,,,,1323523,1720445,1330197,13667068,
Chubu,201409,,,6052661,,,,7355035,7355035,,,,143802,5793943,,,,,,,17447,94671,224,12713,,,,,1618097,1743152,1761899,7537095,
Hokuriku,201409,,,1180590,,,,2669941,2669941,,,,48115,1317679,,,,,,,9303,35759,78,3686,,,,,197579,246405,245694,1564084,
Kansai,201409,,,3675727,,,,7876192,7876192,,,,2822,6450368,,,,,,,43731,119988,0,20048,,,,,730391,914158,733213,7364526,
Chugoku,201409,,,956151,,,,5086205,5086205,,,,1377,2413513,,,,,,,6242,94606,288,6704,,,,,487985,595825,489362,3009338,
Shikoku,201409,,,706802,,,,2239826,2239826,,,,81235,1623690,,,,,,,5939,98221,202,3448,,,,,469803,577613,551038,2201303,
Kyushu,201409,,,3015417,,,,7671198,7671198,,,,223214,5048402,,,,,,,16028,318283,891,9415,,,,,878639,1223256,1101853,6271658,
Okinawa,201409,,,,,,,,,,287701,689315,,423033,,,,,,,1471,3747,0,11035,,,689315,223105,26549,955222,347319,1378255,
Hokkaido,201408,,,1158878,,,,1752129,1752129,,,,16292,1365628,,,,,,,33129,37438,101,4321,,,,,171426,246415,187718,1612043,
Tohoku,201408,,,3129244,,,,4527460,4527460,,,,67775,3867249,,,,,,,13252,273628,557,8673,,,,,546665,842775,614440,4710024,
Tokyo,201408,,,15051835,,,,12893705,12893705,,,,6604,11963755,,,,,,,119879,446261,3326,55921,,,,,1327588,1952974,1334192,13916729,
Chubu,201408,,,6050116,,,,7323968,7323968,,,,142695,5799516,,,,,,,16095,130752,224,12718,,,,,1623793,1783582,1766488,7583098,
Hokuriku,201408,,,1179957,,,,2656085,2656085,,,,48074,1318612,,,,,,,6681,49292,52,3683,,,,,198145,257853,246219,1576465,
Kansai,201408,,,3676182,,,,7865297,7865297,,,,2834,6458664,,,,,,,41702,153099,0,20056,,,,,733485,948342,736319,7407006,
Chugoku,201408,,,956175,,,,5070011,5070011,,,,1389,2416543,,,,,,,4407,61323,376,6743,,,,,489721,562570,491110,2979113,
Shikoku,201408,,,706855,,,,2231774,2231774,,,,81202,1625333,,,,,,,5934,118356,202,3471,,,,,471440,599403,552642,2224736,
Kyushu,201408,,,3014041,,,,7639008,7639008,,,,223443,5052281,,,,,,,14954,327504,891,9410,,,,,881720,1234479,1105163,6286760,
Okinawa,201408,,,,,,,,,,288756,695138,,422999,,,,,,,1352,3849,0,11051,,,695138,223533,26667,961590,348518,1384589,
Hokkaido,201407,,,1158532,,,,1745573,1745573,,,,16307,1365358,,,,,,,9255,36787,101,4618,,,,,235985,286746,252292,1652104,
Tohoku,201407,,,3122969,,,,4493658,4493658,,,,67677,3866913,,,,,,,12041,274956,584,8710,,,,,548372,844663,616049,4711576,
Tokyo,201407,,,15051656,,,,12824765,12824765,,,,6565,11971946,,,,,,,113293,456342,3290,55864,,,,,1331564,1960352,1338129,13932298,
Chubu,201407,,,6044814,,,,7284806,7284806,,,,142680,5801504,,,,,,,15108,140569,164,12683,,,,,1629110,1797634,1771790,7599138,
Hokuriku,201407,,,1179841,,,,2641230,2641230,,,,48053,1319628,,,,,,,4253,49067,33,3692,,,,,198760,255805,246813,1575433,
Kansai,201407,,,3674108,,,,7839853,7839853,,,,2822,6460436,,,,,,,39194,150773,0,20101,,,,,736011,946079,738833,7406515,
Chugoku,201407,,,955796,,,,5050034,5050034,,,,1389,2418236,,,,,,,4047,57097,440,6749,,,,,491296,559629,492685,2977865,
Shikoku,201407,,,706820,,,,2221692,2221692,,,,80978,1623456,,,,,,,5790,117305,159,5591,,,,,473053,601898,554031,2225354,
Kyushu,201407,,,3010565,,,,7601610,7601610,,,,223559,5053350,,,,,,,14094,333950,945,9395,,,,,885466,1243850,1109025,6297200,
Okinawa,201407,,,,,,,,,,289326,691826,,421893,,,,,,,692,3898,0,11055,,,691826,222167,26823,956461,349142,1378354,
Hokkaido,201406,,,1158000,,,,1738184,1738184,,,,16340,1365850,,,,,,,7554,37499,101,4955,,,,,449301,499410,465641,1865260,
Tohoku,201406,,,3118637,,,,4466136,4466136,,,,67606,3870394,,,,,,,12123,275003,584,8680,,,,,549838,846228,617444,4716622,
Tokyo,201406,,,15048928,,,,12749977,12749977,,,,6600,11989057,,,,,,,111457,451249,3467,55763,,,,,1335956,1957891,1342556,13946948,
Chubu,201406,,,6043413,,,,7245281,7245281,,,,142586,5806910,,,,,,,14845,144497,164,12701,,,,,1634971,1807178,1777557,7614088,
Hokuriku,201406,,,1179880,,,,2627642,2627642,,,,48123,1321287,,,,,,,4594,48714,31,3615,,,,,199614,256568,247737,1577855,
Kansai,201406,,,3674397,,,,7821911,7821911,,,,2834,6468449,,,,,,,37748,146820,0,20232,,,,,738966,943766,741800,7412215,
Chugoku,201406,,,955221,,,,5031501,5031501,,,,1389,2419364,,,,,,,4243,56802,437,6770,,,,,493353,561605,494742,2980969,
Shikoku,201406,,,706553,,,,2212153,2212153,,,,80884,1626479,,,,,,,5702,113604,159,3474,,,,,474721,597660,555605,2224139,
Kyushu,201406,,,3007664,,,,7567751,7567751,,,,223953,5054636,,,,,,,14203,292184,1203,9366,,,,,889233,1206189,1113186,6260825,
Okinawa,201406,,,,,,,,,,288222,687170,,420599,,,,,,,734,3861,0,10979,,,687170,220839,26884,950467,347831,1371066,
Hokkaido,201405,,,1158834,,,,1735969,1735969,,,,16710,1367650,,,,,,,8933,33190,66,5846,,,,,842916,890951,859626,2258601,
Tohoku,201405,,,3115844,,,,4437381,4437381,,,,67592,3873813,,,,,,,12887,269018,584,8795,,,,,552017,843301,619609,4717114,
Tokyo,201405,,,15051662,,,,12674117,12674117,,,,6634,11999902,,,,,,,108666,422424,3430,55618,,,,,1340804,1930941,1347438,13930843,
Chubu,201405,,,6042056,,,,7206346,7206346,,,,142628,5812729,,,,,,,15528,138381,168,12700,,,,,1642518,1809295,1785146,7622024,
Hokuriku,201405,,,1180280,,,,2613424,2613424,,,,48205,1322931,,,,,,,4006,51475,13,3614,,,,,200535,259643,248740,1582574,
Kansai,201405,,,3675693,,,,7798819,7798819,,,,2834,6475284,,,,,,,36795,120499,0,20280,,,,,742369,919943,745203,7395227,
Chugoku,201405,,,955339,,,,5010592,5010592,,,,1411,2420987,,,,,,,4409,44208,437,6761,,,,,495672,551487,497083,2972474,
Shikoku,201405,,,707062,,,,2201706,2201706,,,,80900,1627285,,,,,,,5585,95670,159,3455,,,,,476790,581659,557690,2208944,
Kyushu,201405,,,3004644,,,,7527878,7527878,,,,224086,5055615,,,,,,,14676,171301,1201,9393,,,,,893987,1090558,1118073,6146173,
Okinawa,201405,,,,,,,,,,287544,685994,,420151,,,,,,,1060,3861,98,10971,,,685994,220480,27123,949587,347180,1369738,
Hokkaido,201404,,,1162417,,,,1759106,1759106,,,,16811,1371732,,,,,,,6100,5288,66,6105,,,,,1307109,1324668,1323920,2696400,
Tohoku,201404,,,3112431,,,,4404675,4404675,,,,67509,3876037,,,,,,,18489,120601,584,9240,,,,,560376,709290,627885,4585327,
Tokyo,201404,,,15058551,,,,12584798,12584798,,,,6749,12020951,,,,,,,109646,265640,3354,55607,,,,,1344910,1779156,1351659,13800107,
Chubu,201404,,,6041158,,,,7159040,7159040,,,,142430,5820856,,,,,,,16298,87761,119,12724,,,,,1649405,1766307,1791835,7587163,
Hokuriku,201404,,,1180791,,,,2596497,2596497,,,,48199,1325449,,,,,,,4348,51790,0,3592,,,,,202107,261837,250306,1587286,
Kansai,201404,,,3675375,,,,7755738,7755738,,,,2834,6482811,,,,,,,34945,68749,0,20338,,,,,743001,867033,745835,7349844,
Chugoku,201404,,,954411,,,,4987256,4987256,,,,1411,2422271,,,,,,,4196,24619,437,6746,,,,,497822,533820,499233,2956091,
Shikoku,201404,,,707049,,,,2189408,2189408,,,,71307,1629130,,,,,,,5501,66094,159,3458,,,,,478809,554021,550116,2183151,
Kyushu,201404,,,3000352,,,,7482362,7482362,,,,224356,5057467,,,,,,,14680,140153,1177,9393,,,,,897166,1062569,1121522,6120036,
Okinawa,201404,,,,,,,,,,287549,685862,,419596,,,,,,,1856,3861,49,10974,,,685862,220116,27310,950028,347005,1369624,
Hokkaido,201403,,,1159702,,,,1717235,1717235,,,,16768,1371501,,,,,,,3340,2069,66,6960,,,,,1521703,1534138,1538471,2905639,
Tohoku,201403,,,3107832,,,,4363596,4363596,,,,67495,3880185,,,,,,,21598,27013,741,9242,,,,,995942,1054536,1063437,4934721,
Tokyo,201403,,,15059134,,,,12483805,12483805,,,,6900,12042131,,,,,,,125146,60736,3678,55523,,,,,1343297,1588379,1350197,13630510,
Chubu,201403,,,6032715,,,,7099927,7099927,,,,142128,5828328,,,,,,,20870,50823,119,12782,,,,,1661052,1745646,1803180,7573974,
Hokuriku,201403,,,1181306,,,,2574136,2574136,,,,48323,1327416,,,,,,,5441,25764,160,3667,,,,,309154,344186,357477,1671602,
Kansai,201403,,,3673056,,,,7685338,7685338,,,,2834,6493700,,,,,,,38531,39743,0,20288,,,,,741217,839779,744051,7333479,
Chugoku,201403,,,954480,,,,4953116,4953116,,,,1389,2425645,,,,,,,5243,15240,361,6829,,,,,499503,527176,500892,2952821,
Shikoku,201403,,,706481,,,,2172077,2172077,,,,71259,1631585,,,,,,,6294,50680,159,3458,,,,,480767,541358,552026,2172943,
Kyushu,201403,,,2995453,,,,7425451,7425451,,,,224588,5062423,,,,,,,18347,129870,1094,9452,,,,,896313,1055076,1120901,6117499,
Okinawa,201403,,,,,,,,,,286209,684972,,417885,,,,,,,2801,3861,49,10976,,,684972,219808,27361,949828,345444,1367713,
Hokkaido,201402,,,1158786,,,,1703667,1703667,,,,16728,1371958,,,,,,,3270,483,63,6995,,,,,1519013,1529824,1535741,2901782,
Tohoku,201402,,,3101020,,,,4330180,4330180,,0,0,67491,3883360,,,,,,,16959,16624,632,9224,,,0,0,1115019,1158458,1182510,5041818,
Tokyo,201402,,,15050542,,,,12415575,12415575,,,,7049,12061460,,,,,,,136639,48530,3486,55756,,,,,1348061,1592471,1355110,13653931,
Chubu,201402,,,6030420,,,,7057462,7057462,,,,141682,5835527,,,,,,,25917,44798,156,12845,,,,,1668347,1752063,1810029,7587590,
Hokuriku,201402,,,1181118,,,,2552091,2552091,,,,48583,1328454,,,,,,,6878,12205,0,3660,,,,,376315,399058,424898,1727512,
Kansai,201402,,,3672854,,,,7687703,7687703,,,,2834,6505719,,,,,,,44923,38703,0,20318,,,,,747916,851860,750750,7357579,
Chugoku,201402,,,954215,,,,4932554,4932554,,,,1373,2428751,,,,,,,5823,12629,358,6819,,,,,502518,528147,503891,2956898,
Shikoku,201402,,,705641,,,,2157738,2157738,,,,71315,1633675,,,,,,,7151,47824,159,3461,,,,,483345,541940,554660,2175615,
Kyushu,201402,,,2989816,,,,7383831,7383831,,,,225172,5066199,,,,,,,23660,120671,1071,9480,,,,,896313,1051195,1121485,6117394,
Okinawa,201402,,,,,,,,,,290931,689807,,418921,,,,,,,2532,3861,49,10969,,,689807,218890,27444,953552,350242,1372473,
Hokkaido,201401,,,1159248,,,,1699410,1699410,,,,16706,1374173,,,,,,,4184,578,49,7005,,,,,1517936,1529752,1534642,2903925,
Tohoku,201401,,,3097381,,,,4301307,4301307,,,,67547,3888379,,,,,,,14031,14705,523,9194,,,,,1116040,1154493,1183587,5042872,
Tokyo,201401,,,15045305,,,,12341955,12341955,,,,6888,12085687,,,,,,,140020,47712,3599,55744,,,,,1352961,1600035,1359849,13685721,
Chubu,201401,,,6028782,,,,7014818,7014818,,,,140732,5846264,,,,,,,25841,42409,152,12677,,,,,1673388,1754467,1814120,7600731,
Hokuriku,201401,,,1180818,,,,2536128,2536128,,,,48734,1330435,,,,,,,7090,7470,0,3679,,,,,382097,400336,430831,1730771,
Kansai,201401,,,3673884,,,,7670926,7670926,,,,2830,6517330,,,,,,,46119,38887,0,20254,,,,,751411,856671,754241,7374001,
Chugoku,201401,,,954192,,,,4911454,4911454,,,,1307,2432171,,,,,,,6269,10974,358,6819,,,,,504973,529393,506280,2961564,
Shikoku,201401,,,705592,,,,2145269,2145269,,,,71128,1636769,,,,,,,7147,47682,192,3461,,,,,485681,544163,556809,2180932,
Kyushu,201401,,,2987076,,,,7345370,7345370,,,,225664,5073186,,,,,,,25181,122336,1051,9479,,,,,897641,1055688,1123305,6128874,
Okinawa,201401,,,,,,,,,,291342,691562,,419416,,,,,,,2190,3861,49,8005,,,691562,218530,27620,951817,350576,1371233,
Hokkaido,201312,,,1160272,,,,1692527,1692527,,,,16571,1376071,,,,,,,6976,2839,49,5764,,,,,1219154,1234782,1235725,2610853,
Tohoku,201312,,,3092144,,,,4259493,4259493,,,,67469,3891040,,,,,,,15202,14758,523,9116,,,,,1035069,1074668,1102538,4965708,
Tokyo,201312,,,15050541,,,,12273126,12273126,,,,6550,12107697,,,,,,,140149,47997,3586,55750,,,,,1355803,1603283,1362353,13710980,
Chubu,201312,,,6025839,,,,6969195,6969195,,,,139617,5856566,,,,,,,24285,42165,198,12476,,,,,1669607,1748731,1809224,7605297,
Hokuriku,201312,,,1180565,,,,2517196,2517196,,,,48488,1332222,,,,,,,6880,7955,0,3513,,,,,358043,376391,406531,1708613,
Kansai,201312,,,3673348,,,,7644752,7644752,,,,2801,6527398,,,,,,,45813,40026,0,20285,,,,,754340,860464,757141,7387862,
Chugoku,201312,,,954473,,,,4889990,4889990,,,,1173,2434887,,,,,,,6482,12468,348,6791,,,,,507242,533331,508415,2968218,
Shikoku,201312,,,705527,,,,2133077,2133077,,,,70356,1637609,,,,,,,6963,48559,192,3465,,,,,487562,546741,557918,2184350,
Kyushu,201312,,,2983352,,,,7299625,7299625,,,,225854,5078700,,,,,,,23792,138366,1056,9482,,,,,900152,1072848,1126006,6151548,
Okinawa,201312,,,,,,,,,,290377,691639,,421326,,,,,,,2268,3861,49,7782,,,691639,218080,27795,951474,349743,1372800,
Hokkaido,201311,,,1160099,,,,1686638,1686638,,,,16522,1377875,,,,,,,27230,7166,84,5044,,,,,952812,992336,969334,2370211,
Tohoku,201311,,,3087737,,,,4221272,4221272,,,,67317,3894638,,,,,,,19059,20751,523,17747,,,,,683870,741950,751187,4636588,
Tokyo,201311,,,15052248,,,,12190384,12190384,,,,5903,12128975,,,,,,,133856,49762,3491,55649,,,,,1359215,1601972,1365118,13730946,
Chubu,201311,,,6021964,,,,6923981,6923981,,,,136476,5860327,,,,,,,20856,45690,215,12452,,,,,1667373,1746586,1803849,7606913,
Hokuriku,201311,,,1181132,,,,2495357,2495357,,,,48699,1334456,,,,,,,6638,11815,0,3458,,,,,292596,314507,341295,1648963,
Kansai,201311,,,3673971,,,,7620471,7620471,,,,2714,6535083,,,,,,,44123,41841,0,20379,,,,,756509,862852,759223,7397935,
Chugoku,201311,,,954613,,,,4866205,4866205,,,,1107,2436980,,,,,,,6773,24852,284,6827,,,,,509243,547979,510350,2984959,
Shikoku,201311,,,705798,,,,2120987,2120987,,,,68718,1637664,,,,,,,6480,51282,159,3465,,,,,489534,550920,558252,2188584,
Kyushu,201311,,,2981012,,,,7255207,7255207,,,,225000,5081982,,,,,,,20888,155437,1192,9482,,,,,903498,1090497,1128498,6172479,
Okinawa,201311,,,,,,,,,,289909,693111,,422663,,,,,,,2699,3861,49,7781,,,693111,217110,27890,952501,348911,1375164,
Hokkaido,201310,,,1160436,,,,1678354,1678354,,,,16380,1379471,,,,,,,52842,12829,35,4679,,,,,377294,447679,393674,1827150,
Tohoku,201310,,,3083415,,,,4181641,4181641,,,,67217,3898835,,,,,,,26594,38036,537,17613,,,,,571167,653947,638384,4552782,
Tokyo,201310,,,15057720,,,,12109167,12109167,,,,5475,12153908,,,,,,,126122,61871,3566,55663,,,,,1362274,1609496,1367749,13763404,
Chubu,201310,,,6018281,,,,6877023,6877023,,,,130489,5863580,,,,,,,17780,55552,217,12524,,,,,1671284,1757357,1801773,7620937,
Hokuriku,201310,,,1180803,,,,2476943,2476943,,,,48995,1334129,,,,,,,7025,22217,0,3467,,,,,208375,241084,257370,1575213,
Kansai,201310,,,3673609,,,,7589703,7589703,,,,2462,6545809,,,,,,,42524,56352,0,20344,,,,,757333,876553,759795,7422362,
Chugoku,201310,,,954595,,,,4844895,4844895,,,,1108,2440001,,,,,,,7467,68492,284,6827,,,,,511362,594432,512470,3034433,
Shikoku,201310,,,705638,,,,2109988,2109988,,,,66804,1638300,,,,,,,6352,64158,159,3465,,,,,490987,565121,557791,2203421,
Kyushu,201310,,,2977749,,,,7216418,7216418,,,,221851,5085241,,,,,,,18603,245787,997,9482,,,,,906196,1181065,1128047,6266306,
Okinawa,201310,,,,,,,,,,290046,692885,,422832,,,,,,,2010,3836,49,7760,,,692885,217210,27949,951699,349165,1374531,
Hokkaido,201309,,,1159962,,,,1664987,1664987,,,,16490,1380105,,,,,,,42439,35913,35,4383,,,,,177841,260611,194331,1640716,
Tohoku,201309,,,3080741,,,,4141860,4141860,,,,66995,3900215,,,,,,,23234,151967,177,17566,,,,,564659,757603,631654,4657818,
Tokyo,201309,,,15065097,,,,12020380,12020380,,,,5222,12179935,,,,,,,125529,208678,3729,55676,,,,,1365840,1759451,1371062,13939386,
Chubu,201309,,,6016352,,,,6836511,6836511,,,,127539,5870159,,,,,,,16422,93755,212,12553,,,,,1676748,1799690,1804287,7669849,
Hokuriku,201309,,,1181389,,,,2460581,2460581,,,,49271,1337259,,,,,,,8120,35850,0,3437,,,,,207964,255371,257235,1592630,
Kansai,201309,,,3675074,,,,7566091,7566091,,,,2450,6558086,,,,,,,42152,113515,,20235,,,,,760404,936306,762854,7494392,
Chugoku,201309,,,954785,,,,4824543,4824543,,,,1108,2444067,,,,,,,6873,99068,284,6802,,,,,513438,626465,514546,3070532,
Shikoku,201309,,,705753,,,,2098666,2098666,,,,66619,1640780,,,,,,,6303,100855,159,3465,,,,,492812,603594,559431,2244374,
Kyushu,201309,,,2975190,,,,7174857,7174857,,,,219443,5088954,,,,,,,16881,318978,929,9494,,,,,908950,1255232,1128393,6344186,
Okinawa,201309,,,,,,,,,,289023,693202,,422326,,,,,,,2255,3836,49,7728,,,693202,217425,28050,952545,348535,1374871,
Hokkaido,201308,,,1159258,,,,1657219,1657219,,,,16462,1381825,,,,,,,32076,37849,35,4365,,,,,172687,247012,189149,1628837,
Tohoku,201308,,,3076514,,,,4112081,4112081,,,,66611,3902058,,,,,,,13198,275654,537,8530,,,,,566474,864393,633085,4766451,
Tokyo,201308,,,15070029,,,,11943566,11943566,,,,5049,12198326,,,,,,,123995,450149,3725,55632,,,,,1370443,2003943,1375492,14202269,
Chubu,201308,,,6014205,,,,6800497,6800497,,,,126419,5876245,,,,,,,15380,132519,162,12552,,,,,1681606,1842219,1808025,7718464,
Hokuriku,201308,,,1181562,,,,2445760,2445760,,,,49365,1339018,,,,,,,5047,49252,0,3437,,,,,208670,266406,258035,1605424,
Kansai,201308,,,3675669,,,,7547575,7547575,,,,2450,6568196,,,,,,,39704,154788,0,20238,,,,,762920,977650,765370,7545846,
Chugoku,201308,,,954173,,,,4806594,4806594,,,,1123,2446579,,,,,,,5146,63034,284,6808,,,,,515198,590470,516321,3037049,
Shikoku,201308,,,705701,,,,2089301,2089301,,,,65858,1643302,,,,,,,6129,123119,159,3448,,,,,494683,627538,560541,2270840,
Kyushu,201308,,,2971722,,,,7140560,7140560,,,,220117,5094118,,,,,,,16361,329358,899,9468,,,,,912330,1268416,1132447,6362534,
Okinawa,201308,,,,,,,,,,291028,692940,,422376,,,,,,,1921,3791,49,7701,,,692940,216667,28100,951169,350452,1373545,
Hokkaido,201307,,,1159106,,,,1649354,1649354,,,,16510,1382568,,,,,,,5374,37290,35,4739,,,,,239470,286908,255980,1669476,
Tohoku,201307,,,3071051,,,,4072565,4072565,,,,66609,3902638,,,,,,,11809,277056,537,8536,,,,,568029,865967,634638,4768605,
Tokyo,201307,,,15078446,,,,11839687,11839687,,,,5123,12215994,,,,,,,115247,459140,3701,55606,,,,,1374657,2008350,1379780,14224344,
Chubu,201307,,,6010563,,,,6755311,6755311,,,,126071,5881595,,,,,,,14564,141319,147,12550,,,,,1688523,1857103,1814594,7738698,
Hokuriku,201307,,,1181175,,,,2430027,2430027,,,,49349,1340058,,,,,,,3821,48804,0,3423,,,,,209336,265384,258685,1605442,
Kansai,201307,,,3674268,,,,7514499,7514499,,,,2450,6574575,,,,,,,37177,152414,0,20242,,,,,764315,974148,766765,7548723,
Chugoku,201307,,,953935,,,,4785324,4785324,,,,1172,2448220,,,,,,,4745,58951,284,6793,,,,,517176,587949,518348,3036169,
Shikoku,201307,,,705737,,,,2077279,2077279,,,,65609,1644903,,,,,,,6016,120724,159,3451,,,,,496134,626484,561743,2271387,
Kyushu,201307,,,2967179,,,,7099688,7099688,,,,221523,5096705,,,,,,,15804,336832,833,9484,,,,,915387,1278340,1136910,6375045,
Okinawa,201307,,,,,,,,,,289535,688658,,422444,,,,,,,2750,3768,49,7723,,,688658,215695,28240,946883,349145,1369327,
Hokkaido,201306,,,1159765,,,,1641624,1641624,,,,16547,1383888,,,,,,,6541,37822,84,5135,,,,,554451,604033,570998,1987921,
Tohoku,201306,,,3066668,,,,4039188,4039188,,,,66992,3904041,,,,,,,11374,277028,489,8534,,,,,569794,867219,636786,4771260,
Tokyo,201306,,,15093110,,,,11732112,11732112,,,,5038,12232735,,,,,,,112548,454233,4002,55561,,,,,1380053,2006396,1385091,14239131,
Chubu,201306,,,6008923,,,,6715994,6715994,,,,125939,5887996,,,,,,,14287,145952,147,12608,,,,,1693933,1866927,1819872,7754923,
Hokuriku,201306,,,1180698,,,,2413542,2413542,,,,49456,1340744,,,,,,,4069,48371,0,3416,,,,,210257,266113,259713,1606857,
Kansai,201306,,,3675719,,,,7494105,7494105,,,,2443,6585052,,,,,,,34882,148976,0,20474,,,,,767479,971811,769922,7556863,
Chugoku,201306,,,953635,,,,4766201,4766201,,,,1172,2450291,,,,,,,4489,58352,288,6831,,,,,519085,589045,520257,3039336,
Shikoku,201306,,,705395,,,,2066840,2066840,,,,65222,1645571,,,,,,,5916,116266,159,3451,,,,,497831,623623,563053,2269194,
Kyushu,201306,,,2965132,,,,7062068,7062068,,,,224520,5102119,,,,,,,15167,293586,952,9586,,,,,918502,1237793,1143022,6339912,
Okinawa,201306,,,,,,,,,,286413,680898,,421180,,,,,,,2239,3768,49,7678,,,680898,215316,28396,938344,346142,1359524,
Hokkaido,201305,,,1159666,,,,1639322,1639322,,,,16675,1385938,,,,,,,7687,33626,49,5687,,,,,858856,905905,875531,2291843,
Tohoku,201305,,,3065026,,,,4008323,4008323,,,,67080,3909914,,,,,,,13834,270410,489,8667,,,,,571801,865201,638881,4775115,
Tokyo,201305,,,15108292,,,,11620841,11620841,,,,5019,12254633,,,,,,,109569,424435,4107,55537,,,,,1385721,1979368,1390740,14234001,
Chubu,201305,,,6008838,,,,6675616,6675616,,,,125761,5895703,,,,,,,14369,140259,147,12632,,,,,1702685,1870092,1828446,7765795,
Hokuriku,201305,,,1180753,,,,2399083,2399083,,,,49451,1342716,,,,,,,3573,51224,0,3406,,,,,211230,269433,260681,1612149,
Kansai,201305,,,3677929,,,,7467098,7467098,,,,2475,6594141,,,,,,,33760,123161,0,20123,,,,,769952,946996,772427,7541137,
