Company,Year_term,Thermal efficiency_Generation (%),Thermal efficiency_transmission (%),Electricity generated (MWh),Coal (wet)_purchased (wet base) (t),Coal (wet)_consumed_purchased (wet base) (t),Coal (wet)_consumed_consumed (kJ bases) (kj),Coal (wet)_consumed_stored (end of months) (t),Heavy oil (before blending)_purchased (kl),Heavy oil (before blending)_consumed_for genration (kl),Heavy oil (before blending)_consumed_consumed (kJ bases) (kj),Heavy oil (before blending)_consumed_stored (end of months) (kl),Crude oil (befor blending)_purchased (kl),Crude oil (befor blending)_consumed_for genration (kl),Crude oil (befor blending)_consumed_consumed (kJ bases) (kj),Crude oil (befor blending)_consumed_stored (end of months) (kl),Naphtha (before blending)_purchased (kl),Naphtha (before blending)_consumed_for genration (kl),Naphtha (before blending)_consumed_stored (end of months) (kl),NGL (before blending)_purchased (kl),NGL (before blending)_consumed_for genration (kl),NGL (before blending)_consumed_stored (end of months) (kl),LNG_purchased (t),LNG_consumed_for genration (t),LNG_consumed_consumed (kJ bases) (kj),LNG_consumed_stored (end of months) (t),LPG_purchased (t),LPG_consumed_for genration (t),LPG_consumed_stored (end of months) (t),Total consumption (Heavy oil eq.) (kl),Generation2 (%),Generation3 (%)
会社名,年期,熱効率_発電,熱効率_送電,発電,石炭湿_湿,石炭湿_湿2,石炭湿_消費,石炭湿_月末貯炭,重油ブレンド分調整前_受入,重油ブレンド分調整前_発電用,重油ブレンド分調整前_消費,重油ブレンド分調整前_月末貯油,原油ブレンド分調整前_受入,原油ブレンド分調整前_発電用,原油ブレンド分調整前_消費,原油ブレンド分調整前_月末貯油,ナフサブレンド分調整前_受入,ナフサブレンド分調整前_発電用,ナフサブレンド分調整前_月末貯油,ＮＧＬブレンド分調整前_受入,ＮＧＬブレンド分調整前_発電用,ＮＧＬブレンド分調整前_月末貯油,ＬＮＧ_受入,ＬＮＧ_発電用,ＬＮＧ_消費,ＬＮＧ_月末貯油,ＬＰＧ_受入,ＬＰＧ_発電用,ＬＰＧ_月末貯油,重油換算総消費量,発電2,発電3
Chubu,1983H1,38.55,36.85,24899796,,,,,2518610,2624355,40772,413135,1464475,1490303,38888,466178,161316,209642,104822,,,,1164663,1105882,,191282,,,,5703292,0.229,38.55
Hokuriku,1983H1,37.98,36.21,1553161,,,,,106057,118083,41023,154964,249459,248532,39307,96980,,,15476,,,18177,,,,,,,,358904,0.231,37.98
Kansai,1983H1,37.67,35.82,19916187,27569,28212,25954,3463,711282,665365,40730,507085,1550915,1939626,39014,678444,371668,463157,154162,,,,1330423,1289790,,156740,,,,4672717,0.235,37.67
Chugoku,1983H1,37.71,35.27,8643724,728305,732190,27335,310010,1072840,1087340,41274,250807,488932,473551,39181,93550,,3939,,,,,,,,,,,2604,1998371,0.231,37.71
Shikoku,1983H1,38.15,36.26,3658517,207304,171195,27670,79080,417386,412895,41442,239754,107238,141699,39181,41718,,,,,,,,,,,,,,833131,0.228,38.15
Kyushu,1983H1,37.77,35.92,11094894,467112,486041,23567,190311,1088766,1096341,40940,444922,303973,312182,38637,95229,,,,,,,699553,700700,,40937,8,6,7,2581584,0.233,37.77
Okinawa,1983H1,37.16,34.7,2020939,,,,,504957,474495,41274,66431,,,,,,,,,,,,,,,,,,474406,0.235,37.16
Hokkaido,1982H2,37.49,35.06,6900593,2335294,2471367,21391,1330248,362034,383813,40898,96376,31864,31827,39223,,,,,,,,,,,,,,,1620342,0.235,37.49
Tohoku,1982H2,38.57,36.91,12666385,369329,327784,27084,150801,1565967,1708782,40688,410251,574624,655961,39349,213394,26435,54392,15853,,,,,,,,17802,17802,,2905489,0.229,38.57
Tokyo,1982H2,38.72,37.28,48144233,,,,,3611630,3751256,40605,488984,1947469,1992682,39056,613005,669127,596617,222625,,,,3190128,3231735,,150237,370501,409732,95360,11018520,0.229,38.72
Chubu,1982H2,38.89,37.25,26068124,,,,,2716727,2680312,40772,520635,1848784,1875186,39014,492099,175756,198564,153766,,,,1134954,950109,,136421,,,,5912511,0.227,38.89
Hokuriku,1982H2,39.03,37.33,3577902,,,,,308945,268266,40981,169444,466967,552251,39140,96788,2222,3085,15476,,7956,18177,,,,,,,,805244,0.225,39.03
Kansai,1982H2,38.16,36.45,23867645,29572,27956,26958,4106,1342677,1337280,40730,553249,1949264,2005627,39056,1025273,436656,469719,210766,,,,1386324,1376405,,117207,62755,68123,2627,5530339,0.232,38.16
Chugoku,1982H2,38.26,35.94,9327291,608502,707552,26581,312564,1136175,1269380,41358,270032,328966,330233,39223,87735,,14942,2346,,,,,,,,,,,2122604,0.228,38.26
Shikoku,1982H2,39.38,38.02,4670786,42971,,,42971,660170,711100,41442,238783,148127,169626,39181,76929,,,,,,,,,,,,,,1030641,0.221,39.38
Kyushu,1982H2,38.53,36.85,12095635,382791,393870,20763,211210,1229395,1292371,40981,464256,328685,330310,38637,103964,,,,,,,709927,729435,,42129,18,18,5,2758898,0.228,38.53
Okinawa,1982H2,37.35,34.78,1447403,,,,,289740,339452,41065,35999,,,,,,,,,,,,,,,,,,339698,0.235,37.35
Hokkaido,1982H1,37.29,34.73,6164872,2203270,2365455,21349,1475024,283462,300601,40940,119984,,,,,,,,,,,,,,,,,,1454001,0.236,37.29
Tohoku,1982H1,38,36.26,11535516,344045,281746,26079,110329,1428082,1514456,40772,563523,457332,557279,39223,299561,21954,53237,43802,,,,,,,,114752,114752,,2680201,0.232,38
Tokyo,1982H1,38.74,36.78,42483006,,,,,3073709,3077272,40563,649678,1757016,1810101,38930,596000,557949,667313,191528,,,,2987020,3019686,,194254,354858,315254,134593,9831784,0.231,38.74
Chubu,1982H1,38.55,36.85,23726047,,,,,2190325,2225405,40730,493705,1527400,1569378,38888,519110,227460,240386,176852,,,,1218483,1127886,,52081,,,,5439918,0.229,38.55
Hokuriku,1982H1,38.23,36.36,2402166,,,,,172086,209542,40981,134846,379603,346577,39098,183828,12498,12371,16339,,,,,,,,,,,551940,0.23,38.23
Kansai,1982H1,37.11,35.25,18409889,13935,11746,27628,2189,830367,821759,40688,581391,1100469,1089859,39014,1094230,342689,385832,221070,,,,1680631,1623306,,107391,,,,4389226,0.238,37.11
Chugoku,1982H1,38.23,35.99,11692392,958651,736307,26707,407375,1906622,1949774,41149,409064,106438,91242,38972,100794,,982,17293,,,,,,,,145943,149278,8012,2675219,0.229,38.23
Shikoku,1982H1,37.93,36.31,2829168,,,,,400851,409458,41358,296148,51527,52556,39056,98553,,,,,,,,,,,,,,648687,0.229,37.93
Kyushu,1982H1,37.74,35.87,10245870,250218,278468,19674,223029,1068938,1034713,40898,545542,254758,259482,38763,105747,,,,,,,762659,739188,,64750,11,10,5,2390482,0.233,37.74
Okinawa,1982H1,36.94,34.4,1833280,,,,,442807,434330,41107,85736,,,,,,,,,,,,,,,,,,434576,0.237,36.94
Hokkaido,1981H2,37.38,35.18,6757725,2263691,2076585,21474,1639382,560133,541419,40856,137526,34874,34874,39223,,,,,,,,,,,,,,,1598648,0.236,37.38
Tohoku,1981H2,38.29,36.54,12849670,230757,308239,25702,48037,1692225,1666853,40730,662528,888031,791813,38930,403317,32940,100303,75085,,,,,,,,,,,2967549,0.231,38.29
Tokyo,1981H2,38.64,37.11,47702501,,,,,3496307,3609464,40563,612997,2259513,2253593,38805,722179,797722,710362,268244,,,,3039769,3100090,,228352,,,,10961802,0.229,38.64
Chubu,1981H2,38.87,37.22,26947419,,,,,2863930,2772935,40688,545529,2007754,1953250,39014,561982,252052,270831,189537,,,,959534,935703,,50336,,,,6122353,0.227,38.87
Hokuriku,1981H2,38.75,36.88,3454928,,,,,406622,303810,40940,177070,511395,483041,39098,151593,13550,12573,16212,,,,,,,,,,,784103,0.227,38.75
Kansai,1981H2,37.87,36.09,23874620,,,,,1441855,1295461,40647,613775,2053403,1928680,39098,1064750,769079,688435,261078,,,,1301234,1369475,,50792,,,,5582080,0.234,37.87
Chugoku,1981H2,38.19,35.93,10019283,579629,642717,26414,184522,1577049,1527004,41107,463653,378310,340126,39014,97654,,81,18278,,,,,,,,,,,2296858,0.229,38.19
Shikoku,1981H2,39.07,37.62,5062049,,,,,747219,739418,41442,309901,221015,200194,38930,99741,,,,,,,,,,,,,,1125245,0.222,39.07
Kyushu,1981H2,38.33,36.68,11763845,120765,56608,19716,251279,1477129,1437778,40814,526076,362494,359052,38679,111221,,,,,,,686459,673320,,41314,,,,2706041,0.23,38.33
Okinawa,1981H2,36.78,34.2,1349074,,,,,296352,319843,41233,77258,,,,,,,,,,,,,,,,,,320211,0.237,36.78
Hokkaido,1981H1,37.2,34.74,5345150,2109993,1842645,21684,1567958,325142,354076,40730,121981,,,,,,,,,,,,,,,,,,1269638,0.238,37.2
Tohoku,1981H1,37.6,35.74,10161093,187147,198454,25326,125840,1521180,1467477,40730,662859,346119,424705,39056,311219,80306,121557,142448,,,,,,,,,,,2388800,0.235,37.6
Tokyo,1981H1,38.08,36.46,42663864,,,,,3013245,3100760,40521,651261,1585925,1538419,39014,693800,724383,921370,279056,,,,2982309,3037946,,290352,,,,9955129,0.233,38.08
Chubu,1981H1,38.53,36.81,23625919,,,,,2302549,2230522,40688,474105,1564237,1625945,39014,506160,324213,266109,209123,,,,1130453,1047440,,52981,,,,5429437,0.23,38.53
Hokuriku,1981H1,37.32,35.26,2203936,,,,,167502,210533,41065,80276,303084,309867,39098,125396,11559,12335,15235,,,,,,,,,,,517743,0.235,37.32
Kansai,1981H1,37.04,35.18,19542179,,,,,834597,756995,40605,558863,1454909,1480024,39056,873884,373922,383573,171465,,,,1621035,1606662,,119769,,,,4681891,0.24,37.04
Chugoku,1981H1,38.38,36.28,10327336,419770,279873,25995,245982,1909579,1917376,41065,421879,212554,237710,38888,71303,26976,23933,18364,,,,,,,,,,,2359018,0.228,38.38
Shikoku,1981H1,38.88,37.28,4925425,,,,,791205,807438,41325,310122,76919,104751,39060,79349,,,,,,,,,,,,,,1103548,0.224,38.88
Kyushu,1981H1,37.74,36,11999884,114483,102338,19674,187122,1453871,1456063,40856,504597,288113,303035,38721,108998,,,,,,,718818,755732,,28249,,,,2801102,0.233,37.74
Okinawa,1981H1,36.65,34.12,1782234,,,,,418101,420451,41567,100771,,,,,,,,,,,,,,,,,,420972,0.236,36.65
Hokkaido,1980H2,37.82,35.61,7136438,2109960,2271497,21391,1297506,565005,521379,40563,151274,30910,37034,39265,,,,,,,,,,,,,,,1674733,0.235,37.82
Tohoku,1980H2,38.28,36.61,13631153,162655,148036,24991,137545,2144444,1914545,40688,629189,1015707,734728,38972,393339,154032,181239,183699,,,,,,,,,,,3151974,0.231,38.28
Tokyo,1980H2,38.36,36.84,43497563,,,,,3470498,3177165,40521,632310,1392682,1703201,38721,904142,1097627,1008492,325434,,,,3108792,3021059,,347922,,,,10076044,0.232,38.36
Chubu,1980H2,38.68,36.99,26299632,,,,,2959377,2881548,40730,422925,1722499,1515935,39098,569619,429021,461767,151349,,,,1015436,948909,,65884,,,,6009780,0.229,38.68
Hokuriku,1980H2,38.55,36.67,3884944,,,,,310408,259944,41107,128768,570606,617305,39223,135404,40776,32787,16011,,,,,,,,,,,887421,0.228,38.55
Kansai,1980H2,37.89,36.14,23047753,,,,,1227909,920592,40772,616604,2215807,2480826,39014,777607,563961,558091,174111,,,,1180980,1195723,,105857,,,,5373617,0.233,37.89
Chugoku,1980H2,38.37,36.41,11111804,318320,262358,25870,107730,2060245,2001878,40981,441460,384292,347430,38972,109450,29977,33856,15328,,,,,,,,,,,2543249,0.229,38.37
Shikoku,1980H2,39.32,37.84,5797984,,,,,964740,927223,41233,337690,171784,176555,39140,104263,,,,,,,,,,,,,,1287644,0.222,39.32
Kyushu,1980H2,37.97,36.3,10715309,104252,64769,19507,174978,1185795,1207029,40772,520955,333894,324210,38721,125098,,,,,,,711361,706583,,65244,,,,2491338,0.233,37.97
Okinawa,1980H2,36.28,33.78,1332272,,,,,361545,318528,41442,103121,,,,,,,,,,,,,,,,,,319730,0.24,36.28
Hokkaido,1980H1,37.24,34.92,5919930,2048117,1766250,20554,1466659,576363,575972,40437,109268,,,,6127,,,,,,,,,,,,,,1415350,0.239,37.24
Tohoku,1980H1,37.6,35.79,10994847,125292,161085,24656,123043,1633519,1433855,40647,421425,490553,553866,38805,117300,287574,265752,210953,,,,,,,,,,,2590411,0.236,37.6
Tokyo,1980H1,37.99,36.36,42372242,,,,,2590973,2737084,40479,549783,1622138,1493947,38595,900220,1044841,1014132,340616,,,,3748466,3681500,,336290,,,,9919166,0.234,37.99
Chubu,1980H1,38.34,36.6,21603939,,,,,2215883,2079813,40605,381112,1292959,1240681,38721,362598,405304,359152,185509,,,,1075451,1056442,,51339,,,,4995608,0.231,38.34
Hokuriku,1980H1,37.62,35.38,1984945,,,,,159228,195111,41233,84895,310725,253107,39349,186744,21687,29053,8022,,,,,,,,,,,464398,0.234,37.62
Kansai,1980H1,37.02,35.14,17960855,,,,,669196,560267,40521,543065,1662718,1515577,38930,836043,412609,412133,149737,,,,1480633,1434942,,121060,,,,4307936,0.24,37.02
Chugoku,1980H1,38.4,36.35,11452694,296874,277391,24991,53029,2130954,2156236,41065,393816,243935,253589,38972,86844,33983,27311,19141,,,,,,,,,,,2615788,0.228,38.4
Shikoku,1980H1,38.79,37.2,5814243,,,,,975119,947367,41065,315484,147738,172186,38972,104561,,,,,,,,,,,,,,1314066,0.226,38.79
Kyushu,1980H1,37.87,36.06,12414407,107989,56632,19591,132384,1637784,1614847,40772,558221,315147,300112,38847,116174,,,,,,,767653,722490,,60501,,,,2895771,0.233,37.87
Okinawa,1980H1,36,33.6,1829721,,,,,428894,439677,41567,60532,,,,,,,,,,,,,,,,,,440191,0.241,36
Hokkaido,1979H2,37,34.72,6087043,1638621,2047130,20554,1186513,455212,451339,40647,109563,39925,40993,39558,6127,,,,,,,,,,,,,,1456614,0.239,37
Tohoku,1979H2,37.86,36.19,12455569,103000,101015,24781,158925,1588721,1556476,40563,209688,802335,791421,39265,184126,306169,262556,189175,,,,,,,,,,,2922193,0.235,37.86
Tokyo,1979H2,38.22,36.64,44891925,,,,,3292988,3253850,40479,609295,2461858,2141139,38679,832802,1103400,1049516,336889,,,,3213579,3196521,,270903,,,,10440807,0.233,38.22
Chubu,1979H2,38.69,36.98,26719801,,,,,2805502,2741418,40730,265892,1542587,1589234,38721,309922,768753,811155,140426,,,,958071,866618,,75808,,,,6105048,0.228,38.69
Hokuriku,1979H2,38.58,36.6,3661121,,,,,364500,302024,41107,126969,532285,519987,39140,131364,44811,40948,15388,,,,,,,,,,,836676,0.229,38.58
Kansai,1979H2,37.83,36.06,21062396,,,,,1102369,884660,40521,534017,2146631,2035483,38888,619997,645678,646826,126768,,,,1220948,1178536,,75464,,,,4946698,0.235,37.83
Chugoku,1979H2,38.6,36.74,12273258,119789,112909,24530,33567,2602407,2473721,40940,431703,280357,267507,38972,112564,7003,17,12525,,,,,,,,,,,2794894,0.228,38.6
Shikoku,1979H2,38.86,37.29,5242221,,,,,1006587,902798,41149,297448,169710,121945,38930,128497,,,,,,,,,,,,,,1180048,0.225,38.86
Kyushu,1979H2,38.36,36.62,13762999,104985,111935,19507,81027,1978964,1848644,40688,558522,406156,389300,38763,103185,,,,,,,643260,673802,,15383,,,,3172115,0.23,38.36
Okinawa,1979H2,35.57,33.12,1316486,,,,,334185,319847,41567,71314,,,,,,,,,,,,,,,,,,320551,0.243,35.57
Hokkaido,1979H1,36.96,34.68,5364958,1970820,1774158,20595,1600823,454270,446920,40688,107206,,,,7195,,,,,,,,,,,,,,1284666,0.239,36.96
Tohoku,1979H1,37.54,35.81,10239074,90081,90913,24530,156940,1209923,1214176,40521,199148,787360,795154,39223,179464,147989,74460,146362,,,,,,,,,,,2422400,0.237,37.54
Tokyo,1979H1,37.96,36.31,45166117,,,,,2770245,2896020,40437,484575,2871539,2674341,38512,599449,1108860,1097757,282011,,,,3170041,3170232,,256879,,,,10597420,0.235,37.96
Chubu,1979H1,38.38,36.59,24384256,,,,,2177184,2204236,40647,233899,1925592,2054865,38721,356757,567065,562986,184302,,,,733274,728089,,48824,,,,5627008,0.231,38.38
Hokuriku,1979H1,37.66,35.51,3174386,,,,,293766,324805,41191,73082,407545,398323,39391,124958,34922,36722,11525,,,,,,,,,,,742632,0.234,37.66
Kansai,1979H1,37.88,36.16,28988578,,,,,1484783,1430932,40521,404344,3115758,3344736,38847,438892,842931,948937,120007,,,,951182,1008095,,88056,,,,6800357,0.235,37.88
Chugoku,1979H1,38.24,36.28,12467449,85351,85414,23986,26687,2452881,2476889,40898,316243,370968,316549,39014,116747,38091,51118,24531,,,,,,,,,,,2870306,0.23,38.24
Shikoku,1979H1,38.38,36.77,6390891,,,,,955140,1023457,41149,210364,250167,278861,38930,76036,,,,,,,,,,,,,,1457373,0.228,38.38
Kyushu,1979H1,38.17,36.36,15387358,91619,106879,19256,85978,2090224,2138263,40647,454884,369264,388484,39094,87775,,,,,,,759497,753410,,46047,,,,3568304,0.232,38.17
Okinawa,1979H1,35.93,33.49,1728767,,,,,403555,417546,41400,56977,,,,,,,,,,,,,,,,,,418220,0.242,35.93
Hokkaido,1978H2,37.45,35.19,5698002,1738571,1898300,20721,1405748,444896,379266,40521,100396,49883,50577,39181,7195,,,,,,,,,,,,,,1351479,0.237,37.45
Tohoku,1978H2,38.01,36.36,12321378,84081,72187,24447,157818,1531849,1517242,40521,221692,974669,862640,39433,191835,197292,171755,72849,,,,,,,,,,,2879356,0.234,38.01
Tokyo,1978H2,38.36,36.79,46173035,,,,,3438068,3963773,40521,373261,3124018,2606071,38512,643934,1075339,1059565,266506,,,,2622485,2523461,,268571,,,,10699590,0.232,38.36
Chubu,1978H2,38.62,36.92,24144966,,,,,2366023,2328830,40521,300626,1934174,1860542,38679,487320,773015,798133,181186,,,,553979,564941,,58389,,,,5554139,0.23,38.62
Hokuriku,1978H2,38.6,36.81,3606248,,,,,358588,327314,41023,113650,507543,478214,39349,119425,40614,39499,13325,,,,,,,,,,,825717,0.229,38.6
Kansai,1978H2,38.34,36.61,25775074,,,,,1280693,1190360,40437,434821,3381054,3586193,38930,615968,1048002,971261,208796,,,,442418,390352,,90066,,,,5981843,0.232,38.34
Chugoku,1978H2,38.33,36.46,11857568,40678,65524,24028,26750,2461190,2402905,40898,355973,300571,270652,38972,77925,47138,28151,37618,,,,,,,,,,,2722700,0.23,38.33
Shikoku,1978H2,38.76,37.13,5533729,,,,,994055,882551,41149,292349,205360,212137,39098,100366,,,,,,,,,,,,,,1249356,0.226,38.76
Kyushu,1978H2,38.55,36.88,13078454,77806,83943,18544,101238,1999876,1906268,40563,531651,429009,422741,39349,109751,,,,,,,472854,485877,,41133,,,,3010392,0.23,38.55
Okinawa,1978H2,35.71,33.24,1303479,,,,,312668,317229,41316,70968,,,,,,,,,,,,,,,,,,318266,0.244,35.71
Hokkaido,1978H1,36.92,34.49,4471458,1829613,1806936,20554,1573042,185407,193791,40521,35640,,,,7915,,,,,,,,,,,,,,1076012,0.241,36.92
Tohoku,1978H1,37.37,35.66,10090411,90841,78062,24530,145924,1137790,1128470,40521,231961,677362,804314,38930,85321,123099,131219,47312,,,,,,,,,,,2398672,0.238,37.37
Tokyo,1978H1,37.89,36.28,45589861,,,,,3147869,3215331,40437,500740,2760996,2658423,38428,530683,1131337,1051566,246031,,,,3012101,3054690,,173626,,,,10715210,0.235,37.89
Chubu,1978H1,38.44,36.7,25869752,,,,,2395216,2342652,40521,291276,2348679,2363197,38595,415945,605271,608683,207771,,,,666703,636314,,87959,,,,5979907,0.231,38.44
Hokuriku,1978H1,37.79,35.83,3241779,,,,,291802,305927,41065,94025,437571,430040,39307,96730,43943,39723,12210,,,,,,,,,,,757131,0.234,37.79
Kansai,1978H1,37.81,36.02,24514076,,,,,1295024,1130393,40479,507211,3132633,3065877,38805,677416,1172294,1487529,127110,,,,338339,321872,,39347,,,,5764491,0.235,37.81
Chugoku,1978H1,38.17,36.3,11885572,49160,47450,23986,51606,2377116,2382504,40856,315693,347860,337599,38930,67342,14029,11877,19069,,,,,,,,,,,2742926,0.231,38.17
Shikoku,1978H1,38.63,36.99,5670468,,,,,773680,899206,41149,198252,258828,256247,39014,103168,,,,,,,,,,,,,,1285425,0.227,38.63
Kyushu,1978H1,38.07,36.28,13971497,79195,79190,18879,107375,2454906,2391175,40563,464326,488695,447577,39307,105952,,,,,,,302625,294257,,58341,,,,3257954,0.233,38.07
Okinawa,1978H1,35.19,32.67,1640673,,,,,397390,404131,41442,75527,,,,,,,,,,,,,,,,,,404942,0.247,35.19
Hokkaido,1977H2,36.79,34.47,5057148,1963713,2110636,20386,1555059,212502,210778,40605,44352,19967,20117,38009,7915,,,,,,,,,,,,,,1219014,0.241,36.79
Tohoku,1977H2,37.97,36.4,12708824,141971,87764,24572,133145,1498716,1467031,40563,237279,861680,857244,38344,217113,158290,159619,22995,215855,205481,32718,,,,,,,,2972811,0.234,37.97
Tokyo,1977H2,38.35,36.79,46647435,,,,,3662181,3622479,40437,494890,3109751,3213747,38302,513848,1026075,980892,154691,,,,2515457,2482733,,217162,,,,10833720,0.232,38.35
Chubu,1977H2,38.66,36.91,27113592,,,,,2759584,2761923,40521,261059,2303576,2324506,38637,430928,985898,966640,212460,,,,332332,306969,,61175,,,,6230839,0.23,38.66
Hokuriku,1977H2,38.49,36.68,4838808,,,,,430097,413212,41107,118751,686737,681184,39014,93298,45751,47712,8027,,,,,,,,,,,1107892,0.229,38.49
Kansai,1977H2,38.36,36.59,25762646,,,,,1582979,1342896,40395,516870,3132974,3329696,38847,753447,1320725,1407783,141250,,,,200287,190240,,22948,,,,5983531,0.232,38.36
Chugoku,1977H2,38.48,36.64,10776650,30777,28729,23944,49920,2168746,2231837,40814,336264,355831,229500,39014,73520,,178,16932,,,,,,,,,,,2470939,0.229,38.48
Shikoku,1977H2,38.6,36.86,4523909,,,,,802780,790800,41149,334511,138366,115523,39056,101182,,,,,,,,,,,,,,1025544,0.227,38.6
Kyushu,1977H2,38.61,36.95,13400676,71398,87968,18502,107370,2485045,2433582,40521,433855,437436,445713,39307,68756,,,,,,,156507,128777,,50157,,,,3081715,0.23,38.61
Okinawa,1977H2,35.41,32.83,1227256,,,,,317954,300028,41484,82270,,,,,,,,,,,,,,,,,,300966,0.245,35.41
Hokkaido,1977H1,36.75,34.27,4244710,1946593,1829828,20260,1713558,170279,171141,40563,43062,,,,8065,,,,,,,,,,,,,,1025443,0.242,36.75
Tohoku,1977H1,37.72,,10945654,112887,110930,24154,78938,1153666,1208938,40437,225103,667972,764830,38219,217188,98279,87779,24456,107016,189763,23050,,,,,,,,2583857,0.236,37.72
Tokyo,1977H1,38.22,36.65,48866502,,,,,4008667,4016720,40354,464950,3291692,3434065,38260,555166,1043947,963247,165167,,,,2423068,2454141,,187059,,,,11402132,0.233,38.22
Chubu,1977H1,38.43,36.63,23257314,,,,,2502202,2514872,40521,272479,2378641,2325756,38554,471636,729816,749522,195396,,,,54564,,,52192,,,,5376755,0.231,38.43
Hokuriku,1977H1,38.09,36.09,3628297,,,,,374080,355300,41149,116731,453356,451181,38805,95920,58909,60255,9988,,,,,,,,,,,838370,0.231,38.09
Kansai,1977H1,37.83,35.99,24602626,,,,,1474473,1307491,40228,512421,3329588,3552226,38721,821140,1213414,1227499,136052,,,,47167,34266,,12901,,,,5816556,0.236,37.83
Chugoku,1977H1,38.17,36.28,10794553,43478,44988,23819,47978,2075912,2194192,40730,320739,274143,179568,38637,62365,132564,131495,17236,,,,,,,,,,,2498566,0.231,38.17
Shikoku,1977H1,38.41,36.67,5352589,,,,,941578,908305,41107,335409,164244,191304,39056,78855,,,,,,,,,,,,,,1220598,0.228,38.41
Kyushu,1977H1,38.21,36.45,12230760,72799,72665,18544,123940,2482164,2411616,40521,413903,402016,400581,39181,80103,,,,,,,30188,5216,,24579,,,,2842487,0.232,38.21
Okinawa,1977H1,35.33,32.94,1627345,,,,,388659,401093,41274,63897,,,,,,,,,,,,,,,,,,401799,0.247,35.33
Hokkaido,1976H2,36.5,34.2,4273567,1931400,1741701,20260,1598960,206395,200322,40772,44259,27970,28609,37758,8065,,,,,,,,,,,,,,1034756,0.242,36.5
Tohoku,1976H2,37.86,36.29,11863065,127853,161018,24572,76981,1409572,1343039,40563,290390,941447,817691,37926,320019,124306,128387,13972,282438,216098,106017,,,,,,,,2781525,0.234,37.86
Tokyo,1976H2,38.39,36.86,45229473,,,,,3667612,3658920,40563,474495,3489822,3646594,38386,656392,891520,857325,150256,,,,2057615,1956779,,218957,,,,10456076,0.231,38.39
Chubu,1976H2,38.79,37.1,25137662,,,,,2432761,2428069,40437,292249,2705946,2685234,38512,442654,908176,883299,217549,,,,,,,,,,,5769177,0.23,38.79
Hokuriku,1976H2,38.57,36.73,4412618,,,,,369749,392109,41065,110430,551638,605606,38805,99025,46668,44344,11359,,,,,,,,,,,1011004,0.229,38.57
Kansai,1976H2,38.32,36.58,24132368,,,,,1518392,1269415,40437,528012,3470701,3608693,38847,882864,995620,987585,144266,,,,21688,21688,,,,,,5605711,0.232,38.32
Chugoku,1976H2,38.24,36.55,10596841,59734,51665,24070,49539,2070568,2230976,40730,389919,386042,197433,38679,38586,,,16199,,,,,,,,,,,2448778,0.231,38.24
Shikoku,1976H2,39.02,37.49,6656729,,,,,1149925,1104796,41044,316019,237822,255355,39056,106802,,,,,,,,,,,,,,1496587,0.225,39.02
Kyushu,1976H2,38.79,37.15,12822241,116436,147545,18670,123807,2476562,2421428,40521,375869,462912,468821,38763,83324,,,,,,,,,,,,,,2935663,0.229,38.79
Okinawa,1976H2,35.67,32.93,1162946,,,,,306813,285832,41107,76446,,,,,,,,,,,,,,,,,,286706,0.246,35.67
Hokkaido,1976H1,36.62,34.3,3982267,1614087,1634486,19884,1409882,214250,215347,40563,38575,2002,2363,37423,8738,,,,,,,,,,,,,,965241,0.242,36.62
Tohoku,1976H1,37.47,35.97,9521582,80412,100488,24572,110146,1293291,1262955,40563,238984,610216,687880,38009,197404,135850,131792,18057,110079,74112,39842,,,,,,,,2254773,0.237,37.47
Tokyo,1976H1,37.96,36.38,39396997,,,,,3333192,3418029,40563,455797,2609366,2699803,38177,811560,883418,806722,130617,,,,1887203,1906889,,126704,,,,9212170,0.234,37.96
Chubu,1976H1,38.32,36.52,19671238,,,,,2080334,2049254,40647,294249,2186414,2277936,38428,448189,431518,387335,194033,,,,,,,,,,,4546467,0.231,38.32
Hokuriku,1976H1,37.7,35.43,2469546,,,,,343430,298927,41316,147644,264598,267835,38595,160854,21737,23603,9035,,,,,,,,,,,573876,0.232,37.7
Kansai,1976H1,37.29,35.42,20218297,,,,,1170749,1071437,40437,418687,2704177,2788471,38763,902666,1198203,1211138,132750,,,,34172,34172,,,,,,4829359,0.239,37.29
Chugoku,1976H1,38.02,36.14,9476543,66007,59897,23651,41719,1970889,1959277,40814,371704,197950,170799,38302,51537,54141,52848,16232,,,,,,,,,,,2199104,0.232,38.02
Shikoku,1976H1,38.41,36.64,5342848,,,,,987152,945433,40940,295716,143072,143980,39098,121680,,,,,,,,,,,,,,1223060,0.229,38.41
Kyushu,1976H1,37.6,35.73,9182659,161711,180132,19884,154947,1679359,1731223,40605,354999,369787,361872,39056,91793,,,,,,,,,,,,,,2165288,0.236,37.6
Okinawa,1976H1,35.34,33.93,1492071,,,,,374930,369531,41065,55469,,,,,,,,,,,,,,,,,,371101,0.248,35.34
Hokkaido,1975H2,36.93,34.51,4038102,1649983,1752269,19758,1410969,163062,162128,40688,40242,11971,12480,37381,9099,,,,,,,,,,,,,,967370,0.239,36.93
Tohoku,1975H2,37.76,36.26,11834101,91953,96278,24246,130222,1826735,1792631,40705,218240,907228,808135,38286,275284,45958,42164,13999,10072,6065,4007,,,,,,,,2769905,0.234,37.76
