Manufacturing_
Machinery_Total Manufacturing (MWh)","Mining and Manufacturing_
Total of Mining and Manufacturing (MWh)",Others_Railways (MWh),Others_Other than railways (MWh),Others_Total Others (MWh),Grand total (MWh)
会社名,年期,鉱工業_鉱業_石炭鉱業,鉱工業_鉱業_その他,鉱工業_鉱業_鉱業計,鉱工業_製造業_食料品製造業,鉱工業_製造業_繊維工業,鉱工業_製造業_パルプ紙紙加工品製造業,鉱工業_製造業_化学工業_アンモニア系肥料製造業,鉱工業_製造業_化学工業_石灰窒素製造業電炉工業,鉱工業_製造業_化学工業_ソーダ工業,鉱工業_製造業_化学工業_石油化学系基礎製品製造業,鉱工業_製造業_化学工業_化学繊維製造業,鉱工業_製造業_化学工業_その他,鉱工業_製造業_化学工業_化学工業計,鉱工業_製造業_化学工業_石油製品石炭製品製造業,鉱工業_製造業_化学工業_ゴム製品製造業,鉱工業_製造業_窯業土石製品製造業_セメント製造業,鉱工業_製造業_窯業土石製品製造業_その他,鉱工業_製造業_窯業土石製品製造業_窯業土石製品製造業計,鉱工業_製造業_鉄鋼業_高炉による製鉄業,鉱工業_製造業_鉄鋼業_その他,鉱工業_製造業_鉄鋼業_鉄鋼業計,鉱工業_製造業_非鉄金属製造業_アルミニウム第一次製錬精製業,鉱工業_製造業_非鉄金属製造業_その他,鉱工業_製造業_非鉄金属製造業_非鉄金属製造業計,鉱工業_製造業_機械器具製造業_電気機械器具製造業,鉱工業_製造業_機械器具製造業_輸送用機械器具製造業,鉱工業_製造業_機械器具製造業_その他,鉱工業_製造業_機械器具製造業_機械器具製造業計,鉱工業_製造業_機械器具製造業_その他2,鉱工業_製造業_機械器具製造業_製造業計,鉱工業_機械器具製造業_鉱工業計,その他_鉄道業,その他_その他,その他_その他計,合計
Kyushu,199206,3998,15726,19724,114694,43669,50477,,25587,36874,18673,23269,74094,178497,7772,38452,132640,30389,163029,59972,180424,240396,175,46690,46865,276577,62660,29942,369179,125590,1378620,1398344,74293,116736,191029,1589373
Okinawa,199206,,642,642,4605,,346,,,661,,,744,1405,3243,,5301,,5301,,8623,8623,,513,513,,,,,1071,25107,25749,,34117,34117,59866
Hokkaido,199205,11935,4177,16112,46885,,107592,,,12503,,,24447,36950,1294,286,35665,4527,40192,1047,42254,43301,,,,20876,4294,,25170,28427,330097,346209,24316,40448,64764,410973
Tohoku,199205,,15639,15639,75397,21749,83490,2909,8030,37814,,2034,79189,129976,3892,18417,53008,36738,89746,,220249,220249,,147493,147493,284266,52695,66151,403112,121324,1314845,1330484,115447,94508,209955,1540439
Tokyo,199205,,18591,18591,338374,15209,319080,48153,,124595,286719,30046,338581,828094,65785,79138,100610,199032,299642,194519,544808,739327,7208,393466,400674,672595,557398,234935,1464928,619228,5169479,5188070,433682,708680,1142362,6330432
Chubu,199205,,4917,4917,146475,178509,139674,,,34970,44961,85530,136501,301962,17934,64441,31869,170143,202012,43909,457821,501730,5396,115247,120643,222076,821962,176188,1220226,293149,3186755,3191672,220907,169495,390402,3582074
Hokuriku,199205,,3393,3393,9075,108511,38302,5118,8426,15889,,34772,34413,98618,1487,1355,11258,25369,36627,,114244,114244,,67648,67648,63304,18122,31678,113104,100306,689277,692670,24819,31140,55959,748629
Kansai,199205,,9647,9647,165982,103059,104944,,,95463,85531,43835,211816,436645,30286,40920,51721,198199,249920,224000,631000,855000,,137179,137179,304683,129016,115754,549453,327379,3000767,3010414,358346,333402,691748,3702162
Chugoku,199205,,17405,17405,45986,27337,48124,528,,28059,73273,9455,61176,172491,20878,21688,51602,45203,96805,138399,320326,458725,,93446,93446,88462,155155,39349,282966,74362,1342808,1360213,99487,79749,179236,1539449
Shikoku,199205,,5218,5218,20417,26712,95512,,,34920,3997,13224,45833,97974,26908,3958,28129,944,29073,,86447,86447,,,,43475,8050,18036,69561,33592,490154,495372,4510,22467,26977,522349
Kyushu,199205,6729,15726,22455,106530,38203,59741,,32532,35535,25654,17317,57240,168278,7966,34372,138058,28438,166496,60759,185590,246349,153,45865,46018,250576,57232,26785,334593,108805,1317351,1339806,78842,107079,185921,1525727
Okinawa,199205,,776,776,4559,,378,,,635,,,713,1348,4133,,6064,,6064,,8411,8411,,252,252,,,,,1537,26682,27458,,29694,29694,57152
Hokkaido,199204,12125,4859,16984,45966,,95185,,,14957,,,24101,39058,1395,299,29730,4113,33843,1611,42465,44076,,,,20103,4152,,24255,29808,313885,330869,24327,40003,64330,395199
Tohoku,199204,,16149,16149,76348,22435,71822,1702,13231,27020,,1783,81747,125483,3685,17760,55604,38929,94533,,221096,221096,,136359,136359,289849,55538,68813,414200,128343,1312064,1328213,115130,94562,209692,1537905
Tokyo,199204,,21628,21628,335614,16525,328464,45101,,105107,270689,22256,347187,790340,80517,86276,105916,210103,316019,174019,549928,723947,6270,401242,407512,708288,595999,256387,1560674,684031,5329919,5351547,415872,701797,1117669,6469216
Chubu,199204,,5659,5659,143657,190569,134364,,,32913,43514,75640,136267,288334,21984,68342,23891,179059,202950,37714,465994,503708,5893,118449,124342,229147,878271,188191,1295609,312448,3286307,3291966,214421,168305,382726,3674692
Hokuriku,199204,,1714,1714,8838,113243,39939,5538,8215,13342,,32500,34927,94522,2288,1517,11966,23192,35158,,118627,118627,,68285,68285,62833,19380,33537,115750,104751,702918,704632,24164,29960,54124,758756
Kansai,199204,,10439,10439,163670,109239,103630,,,72705,82068,43199,214110,412082,30069,44130,48328,190356,238684,224045,628979,853024,,140755,140755,313174,141732,123103,578009,348282,3021574,3032013,342954,318622,661576,3693589
Chugoku,199204,,18920,18920,43593,28646,49572,534,,23454,76671,15145,61377,177181,10095,23211,41505,47254,88759,130730,284038,414768,,88258,88258,89040,162723,43526,295289,79314,1298686,1317606,94364,79019,173383,1490989
Shikoku,199204,,4962,4962,19805,27743,92206,,,30556,6563,18592,48709,104420,25405,4108,23700,980,24680,,88341,88341,,,,42582,8505,19879,70966,34724,492398,497360,4522,22266,26788,524148
Kyushu,199204,3940,15370,19310,107331,41463,52042,,30508,43027,4823,18838,50489,147685,8284,37201,118562,29058,147620,46334,180490,226824,255,45138,45393,243072,56106,28657,327835,117020,1258698,1278008,72516,113864,186380,1464388
Okinawa,199204,,820,820,4979,,380,,,651,,,818,1469,3911,,4830,,4830,,8234,8234,,259,259,,,,,1543,25605,26425,,27485,27485,53910
Hokkaido,199203,11674,3230,14904,46305,,89558,,,14255,,,23854,38109,3199,328,26460,2883,29343,2972,36126,39098,,,,20881,4584,,25465,30467,301872,316776,28520,43432,71952,388728
Tohoku,199203,,18442,18442,74386,22755,68615,1729,29727,25760,,1815,84702,143733,3497,18787,57071,40285,97356,,229564,229564,,146510,146510,303909,61004,73160,438073,130563,1373839,1392281,130838,98361,229199,1621480
Tokyo,199203,,22649,22649,312322,17002,317712,44602,,100024,266857,22546,352543,786572,91121,91604,122667,217864,340531,152444,566704,719148,7145,414506,421651,728006,658270,274570,1660846,688000,5446509,5469158,456951,715780,1172731,6641889
Chubu,199203,,5984,5984,141880,194578,129827,,3116,32510,38153,65767,137865,277411,19331,75034,32712,193789,226501,24562,495341,519903,5684,123365,129049,241491,972067,204316,1417874,331589,3462977,3468961,231227,174826,406053,3875014
Hokuriku,199203,,1492,1492,9323,115983,30861,7923,8670,16669,,32662,36670,102594,2161,1703,15074,25102,40176,,108206,108206,,71172,71172,65434,21727,36657,123818,110103,716100,717592,26964,30199,57163,774755
Kansai,199203,,11090,11090,158616,111989,104678,,,76566,68563,38511,227758,411398,29133,45723,63423,203820,267243,197899,621885,819784,,145687,145687,327989,152830,133794,614613,358142,3067006,3078096,366903,335417,702320,3780416
Chugoku,199203,,20736,20736,43553,29077,49888,578,,22699,71045,12025,63941,170288,13069,24809,43383,48519,91902,125752,275972,401724,,88636,88636,91382,183494,46779,321655,82633,1317234,1337970,101252,84521,185773,1523743
Shikoku,199203,,5342,5342,19049,28153,88988,,,30571,6257,20435,49031,106294,27273,4311,34535,1235,35770,,98402,98402,,,,43600,8711,20977,73288,37177,518705,524047,5303,22875,28178,552225
Kyushu,199203,3939,16763,20702,102002,39861,49215,,27913,41909,19398,15547,46343,151110,8555,40908,135770,31553,167323,48315,183476,231791,263,44331,44594,256663,61610,29070,347343,120926,1303628,1324330,80736,113719,194455,1518785
Okinawa,199203,,686,686,4075,,377,,,603,,,628,1231,3615,,5933,,5933,,9538,9538,,595,595,,,,,1361,26725,27411,,27133,27133,54544
Hokkaido,199202,12283,2654,14937,42320,,70493,,,11506,,,21603,33109,1531,321,24323,2390,26713,7305,38508,45813,,,,19453,4391,,23844,28508,272652,287589,29491,42338,71829,359418
Tohoku,199202,,16749,16749,69983,21604,66754,1717,44088,24795,,1711,80531,152842,3476,17722,54708,38262,92970,,226339,226339,,134486,134486,291627,58539,71146,421312,126138,1333626,1350375,132816,92683,225499,1575874
Tokyo,199202,,22425,22425,305581,17589,294278,41286,,93232,260436,20234,351064,766252,81324,88614,112857,208917,321774,124745,533707,658452,6581,398650,405231,717998,638596,274334,1630928,683615,5253638,5276063,447264,682928,1130192,6406255
Chubu,199202,,5928,5928,133259,189223,120255,,3610,30703,39168,58962,132844,265287,18084,70777,29549,188956,218505,29817,469886,499703,8117,116404,124521,228631,929410,200091,1358132,324418,3322164,3328092,222177,175718,397895,3725987
Hokuriku,199202,,12026,12026,9150,111666,28898,11044,7895,16579,,30550,35099,101167,1869,1631,12101,21510,33611,,98871,98871,,70608,70608,62353,20721,36593,119667,107454,684592,696618,27995,29035,57030,753648
Kansai,199202,,10665,10665,149021,109281,97063,,,71958,71599,35360,218373,397290,28930,44531,43058,192595,235653,197623,618833,816456,,141932,141932,309030,148849,132682,590561,350368,2961086,2971751,357834,322145,679979,3651730
Chugoku,199202,,19076,19076,39643,28401,47581,568,,24725,90295,8410,58530,182528,15740,23549,40258,48109,88367,117953,261538,379491,,87517,87517,85610,176099,45724,307433,80066,1280316,1299392,93872,82984,176856,1476248
Shikoku,199202,,5239,5239,17913,26857,83959,,,28235,5420,20722,46082,100459,23059,4144,32605,1056,33661,,97469,97469,,,,40715,8285,20683,69683,35987,493191,498430,5201,21795,26996,525426
Kyushu,199202,4216,15559,19775,93601,39024,46454,,27099,42626,6084,19369,43248,138426,7761,38618,119541,30767,150308,50922,169729,220651,258,41601,41859,238719,58480,28350,325549,114348,1216599,1236374,75240,109232,184472,1420846
Okinawa,199202,,804,804,4123,,373,,,632,,,628,1260,3030,,4687,,4687,,8381,8381,,493,493,,,,,1369,23716,24520,,24402,24402,48922
Hokkaido,199201,12796,2579,15375,43746,,83852,,,12385,,,22251,34636,1629,313,16199,2189,18388,7560,39858,47418,,,,20309,4494,,24803,27816,282601,297976,31419,45303,76722,374698
Tohoku,199201,,16146,16146,69532,20502,70552,1780,49419,29397,,1420,81421,163437,3490,16630,47080,35572,82652,,227262,227262,,141448,141448,292406,59091,69990,421487,120353,1337345,1353491,135119,95917,231036,1584527
Tokyo,199201,,19970,19970,299200,15834,275464,41415,,102276,290140,20409,329120,783360,87590,82901,86605,196897,283502,140378,509723,650101,7127,384970,392097,674808,624760,262022,1561590,606206,5037845,5057815,479846,678697,1158543,6216358
Chubu,199201,,5355,5355,131356,174217,118821,,3146,31603,45100,65273,127930,273052,18852,67590,25690,179797,205487,37105,452212,489317,7903,111370,119273,228932,899172,199446,1327550,302508,3228023,3233378,245274,175221,420495,3653873
Hokuriku,199201,,12340,12340,9439,106935,28505,10887,8613,16599,,32055,33511,101665,1889,1574,10413,22252,32665,,118650,118650,,71352,71352,63633,20254,36815,120702,106565,699941,712281,28057,30641,58698,770979
Kansai,199201,,9701,9701,143466,102699,93810,,,75329,84273,36551,210616,406769,30109,41624,42765,199957,242722,216142,579311,795453,,138005,138005,299737,142921,126445,569103,329281,2893041,2902742,377195,330757,707952,3610694
Chugoku,199201,,17966,17966,39621,26751,48634,526,,30152,96578,7843,59584,194683,18335,22672,25115,47439,72554,129750,249982,379732,,90385,90385,84902,173292,45116,303310,80169,1276846,1294812,99337,86003,185340,1480152
Shikoku,199201,,5419,5419,18918,24847,88649,,,32371,5721,26144,43001,107237,26024,4114,25612,904,26516,,84780,84780,,,,41370,7791,20138,69299,34272,484656,490075,5575,23333,28908,518983
Kyushu,199201,3973,15811,19784,94220,36673,46065,,31360,44279,8109,20018,51328,155094,8245,35912,124301,29729,154030,57048,177647,234695,259,42141,42400,234042,55793,28155,317990,111871,1237195,1256979,87314,117142,204456,1461435
Okinawa,199201,,798,798,4228,,399,,,637,,,740,1377,3990,,5239,,5239,,8744,8744,,415,415,,,,,1318,25710,26508,,27921,27921,54429
Hokkaido,199112,14329,4229,18558,45293,,87446,,,12242,,,24284,36526,1485,301,30957,3642,34599,6167,45130,51297,,,,20618,4084,,24702,29068,310717,329275,28041,44317,72358,401633
Tohoku,199112,,18139,18139,81623,21971,71753,2712,36391,30792,,1563,84690,156148,3356,17773,67863,38566,106429,,230681,230681,,146059,146059,300032,63161,72499,435692,125647,1397132,1415271,136878,99371,236249,1651520
Tokyo,199112,,21279,21279,316928,17358,308261,47114,,104095,295662,23291,344500,814662,90094,87373,121682,211877,333559,214444,552912,767356,7319,393761,401080,710215,634169,263101,1607485,668754,5412910,5434189,457726,706028,1163754,6597943
Chubu,199112,,5526,5526,138910,188943,126631,,3339,33010,43726,70002,126967,277044,19757,70004,31932,186208,218140,51955,478340,530295,5660,115459,121119,228407,899069,194477,1321953,315157,3327953,3333479,221139,171932,393071,3726550
Hokuriku,199112,,9421,9421,10098,108995,31039,9039,8609,14786,,32794,33224,98452,2269,1603,16323,26007,42330,,130710,130710,,71483,71483,65484,19396,36390,121270,108760,727009,736430,27069,30709,57778,794208
