Company,Year_term,Liabilities and equity_Noncurrent liabilities (M.JPY),Liabilities and equity_Bonds payable (M.JPY),Liabilities and equity_Long-term loans payable (M.JPY),Liabilities and equity_Long-term accrued liabilities (M.JPY),Liabilities and equity_Lease obligations (M.JPY),Liabilities and equity_Long-term debt to affiliates &c. (M.JPY),Liabilities and equity_Provision for retirement benefits (M.JPY),Liabilities and equity_Reserve for reprocessing spent fuel (M.JPY),Liabilities and equity_Reserve for preparation for reprocessing spent fuel (M.JPY),Liabilities and equity_Reserve for restoration costs from natural desasters (M.JPY),Liabilities and equity_Reserve for desimantling NPPs (M.JPY),Liabilities and equity_Reserve for loss from discontinued NPP operations (M.JPY),Liabilities and equity_Provision for loss on natural disaster (M.JPY),Liabilities and equity_Provision for loss on investment (M.JPY),Liabilities and equity_Provision for loss on guarantees (M.JPY),Liabilities and equity_Provision for directors' retirement benefits (M.JPY),Liabilities and equity_Provision for loss on liquidation of affiliates &c. (M.JPY),Liabilities and equity_Provision for loss on guarantees (M.JPY),Liabilities and equity_Asset retirement obligations (M.JPY),Liabilities and equity_Putting off tax debt (M.JPY),Liabilities and equity_Other noncurrent liabilities (M.JPY),Liabilities and equity_Current liabilities (M.JPY),Liabilities and equity_Current portion of noncurrent liabilities (M.JPY),Liabilities and equity_Short-term loans payable (M.JPY),Liabilities and equity_Commercial papers (M.JPY),Liabilities and equity_Accounts payable-trade (M.JPY),Liabilities and equity_Accounts payable-other (M.JPY),Liabilities and equity_Accrued expenses (M.JPY),Liabilities and equity_Accrued taxes (M.JPY),Liabilities and equity_Deposits received (M.JPY),Liabilities and equity_Short-term debt to subsidiaries and affiliates (M.JPY),Liabilities and equity_Other advances (M.JPY),Liabilities and equity_Provision for loss on liquidation of affiliates &c. (M.JPY),Liabilities and equity_Provision for possible loss on support of affiliates (M.JPY),Liabilities and equity_Reserve for restoration costs of natural disaster (M.JPY),Liabilities and equity_Provision for directors' bonuses (M.JPY),Liabilities and equity_Asset retirement obligations2 (M.JPY),Liabilities and equity_Reserves under the special laws (M.JPY),Liabilities and equity_Reserve for fluctuations of water levels (M.JPY),Liabilities and equity_Reserve for the depreciation of NPP construction (M.JPY),Liabilities and equity_Total Liabilities (M.JPY),Liabilities and equity_Shareholders' equity (M.JPY),Liabilities and equity_Capital stock (M.JPY),Liabilities and equity_Capital surplus (M.JPY),Liabilities and equity_Legal capital surplus (M.JPY),Liabilities and equity_Other capital surplus (M.JPY),Liabilities and equity_Retained earnings (M.JPY),Liabilities and equity_Legal retained earnings (M.JPY),Liabilities and equity_Other retained earnings (M.JPY),Liabilities and equity_Reserve for overseas investment loss (M.JPY),Liabilities and equity_Reserve for special disaster (M.JPY),Liabilities and equity_Reserve for adjustment of cost fluctuations (M.JPY),Liabilities and equity_Reserve for depreciatopn of Tomari NPP Unit 3 (M.JPY),Liabilities and equity_Reserve for depreciatopn of Higashiniigata PS #4-2 (M.JPY),Liabilities and equity_General reserve (M.JPY),Liabilities and equity_Retained earnings brought forward (M.JPY),Liabilities and equity_Treasury stock at cost (M.JPY),Liabilities and equity_Valuation and translation adjustments (M.JPY),Liabilities and equity_Net unrealized holding gain on securities (M.JPY),Liabilities and equity_Deferred gains/losses on hedging instruments (M.JPY),Liabilities and equity_Subscription rights to shares (M.JPY),Liabilities and equity_Total Shareholders' equity/Net assets (M.JPY),Liabilities and equity_Total (M.JPY)
Kansai,1974,1090554,551856,505688,32011,,,66243,,,,,,,,,,,,,,,308567,81765,88000,,44222,17510,30605,11126,20758,8232,5534,,,,,,69737,3494,,1468858,,226855,,55675,,,18305,,,,,,,,,,,,,,311889,1780747
Chugoku,1974,244685,136379,106200,2106,,,56639,,,,,,,,,,,,,,,96983,24519,18126,,21245,4564,9471,4522,8931,2362,1736,,,,,,56949,310,,398617,,92718,,9426,,,4909,,,,,,,,,,,,,,111120,509737
Shikoku,1974,190036,102434,86471,1131,,,15153,,,,,,,,,,,,,,,53803,18347,9100,,10221,2141,5354,2945,3601,1190,678,,,,,,16419,1092,,260258,,45450,,6124,,,2739,,,,,,,,,,,,,,57113,317371
Kyushu,1974,375875,189090,183062,3711,,,41307,,,,,,,,,,,,,,11,125432,36086,17825,,20605,11833,15205,5882,12596,2625,2169,,,,,,41375,67,,542681,,97635,,18309,,,7052,,,,,,,,,,,,,,127250,669931
Okinawa,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14728,,,,,,,,,,,,,,,,,,,,
Hokkaido,1973,122192,60991,60341,856,,,13168,,,,,,,,,,,,,,3,28117,13043,,,2961,3320,3940,908,2601,376,914,,,,,,15335,2168,,165644,,36000,,12671,,,3531,,,,,,,,,,,,,,53791,219434
Tohoku,1973,295453,150264,130359,8930,,2,35233,,,,,,,,,,,,,,5898,84479,33120,13000,,14908,2649,8569,1418,7376,1017,2135,,,,,,35971,,,415903,,100000,,29612,,,6064,,285,,,,,,,,,,,,140688,556591
Tokyo,1973,1191501,536237,609740,45507,,6,71208,,,,,,,,,,,,,,10,408844,130741,56000,,60255,44677,34804,4703,50781,10645,14515,,,,,,73576,,,1673922,,300000,,57462,,,20358,,933,,,,,,,,,,,,390264,2064186
Chubu,1973,502293,303890,187073,10250,,1,42413,,,,,,,,,,,,,,792,172732,49761,35000,,22123,14418,14816,2328,14466,15420,4079,,,,,,44070,180,,719094,,158000,,22897,,,11952,,798,,,,,,,,,,,,200256,919350
Hokuriku,1973,140468,63481,74325,2627,,,13815,,,,,,,,,,,,,,2,38713,15937,6000,,4734,1919,4269,472,2179,2593,405,,,,,,14071,256,,193252,,43130,,11152,,,4051,,,,,,,,,,,,,,60240,253492
Kansai,1973,936578,493337,409780,32463,,,59153,,,,,,,,,,,,,,,248776,70294,55000,,39692,17786,25120,7918,16631,7707,7966,,,,,,60250,1097,,1245604,,224609,,57921,,,16669,,,,,,,,,,,,,,308051,1553656
Chugoku,1973,185224,102417,79642,2638,,,51008,,,,,,,,,,,,,,527,74275,16581,14487,,14510,6223,6881,1063,7847,1898,4149,,,,,,52117,441,,311616,,61200,,16219,,,4419,,229,,,,,4500,,,,,,,84848,396465
Shikoku,1973,152363,83216,66317,2830,,,12383,,,,,,,,,,,,,,,38312,14853,6100,,5832,1547,4033,1615,2547,1282,343,,,,,,13152,769,,203828,,36000,,8361,,,2420,,,,,,,,,,,,,,48427,252255
Kyushu,1973,306726,148715,152281,5717,,2,34632,,,,,,,,,,,,,,11,104241,31025,20300,,13279,9917,11545,1667,10214,2171,3606,,,,,,40448,,,451415,,72210,,23561,,,6473,,179,,,,,,,,,,,,105467,556881
Okinawa,1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14728,,,,,,,,,,,,,,,,,,,,
Hokkaido,1972,98394,47503,50824,64,,1,11504,,,,,,,,,,,,,,2,23246,12256,,,1724,1552,3183,1518,2283,300,384,,,,,,13948,2049,,135588,,36000,,12671,,,3171,,23,,,,,,,,,,,,54526,190114
Tohoku,1972,253566,117840,124473,6629,,1,33806,,,,,,,,,,,,,,4623,84448,30960,12000,,6789,13349,7046,3561,6853,2086,1540,,,,,,35065,765,,373078,,80000,,30992,,,5264,,217,,,,,,,,,,,,124327,497406
Tokyo,1972,992450,456305,522829,13295,,9,63448,,,,,,,,,,,,,,12,299638,109098,21000,,21914,39788,29100,12497,44755,9101,10801,,,,,,86504,96,,1378592,,300000,,57462,,,17682,,943,,,,,,,,,,,,405469,1784060
Chubu,1972,427411,250416,175490,114,,189,42495,,,,,,,,,,,,,,916,133750,44458,25000,,10026,11787,12092,6166,13075,7945,2854,,,,,,52197,2601,,613359,,158000,,22897,,,10536,,803,,,,,,,,,,,,206801,820160
Hokuriku,1972,112399,50595,61736,34,,,14058,,,,,,,,,,,,,,2,33324,15608,4500,,2056,1563,3398,2202,2044,1344,376,,,,,,15917,1761,,161639,,43130,,11152,,,3619,,23,,,,,,,,,,,,60978,222617
Kansai,1972,691060,390001,293815,6245,,,55290,,,,,,,,,,,,,,,192717,56587,45000,,18174,16722,20150,6258,14066,7151,7758,,,,,,73340,4611,,957117,,179687,,66868,,,14872,,710,,,,,,,,,,,,277323,1234441
Chugoku,1972,143062,79678,62943,105,,,47435,,,,,,,,,,,,,,336,59840,15465,11487,,5277,4764,5148,5240,7183,1379,3578,,,,,,55347,1878,,258250,,61200,,16219,,,3807,,165,,,,,4500,,,,,,,89324,347574
Shikoku,1972,111874,60839,50902,128,,,10630,,,,,,,,,,,,,,5,32666,12907,5900,,2905,2522,3328,1504,2222,820,424,,,,,,11783,1089,,156322,,36000,,8361,,,2060,,,,,,,,,,,,,,48604,204926
Kyushu,1972,257214,120915,134785,1502,,,30684,,,,,,,,,,,,,,11,89477,24647,17300,,6402,13015,9888,4083,9540,2008,2098,,,,,,35856,888,,382547,,72012,,23327,,,5753,,115,,,,,,,,,,,,107371,489918
Okinawa,1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14728,,,,,,,,,,,,,,,,,,,,
Hokkaido,1971,87493,41806,45601,84,,1,10000,,,,,,,,,,,,,,2,19336,10557,,,1114,1156,2942,1377,1835,176,142,,,,,,11906,1899,,118735,,36000,,17,,,2811,,,,,,,,,,,,,,54373,173109
Tohoku,1971,223581,103510,110477,6891,,3,30136,,,,,,,,,,,,,,2700,69516,30259,12000,,5326,2736,6479,4303,5863,1598,740,,,,,,31087,874,,324184,,80000,,112,,,4464,,77,,,,,,,,,,,,123313,447497
Tokyo,1971,855168,405040,421588,28513,,12,55904,,,,,,,,,,,,,,14,291290,103158,47022,,21563,32952,23452,11617,39151,3354,7644,,,,,,69556,524,,1216015,,234375,,99,,,15338,,743,,,,,,,,,,,,324639,1540653
Chubu,1971,369291,215566,152240,153,,1,37703,,,,,,,,,,,,,,1044,118860,38674,23000,,7951,9267,10841,6403,12035,7419,2987,,,,,,43156,1214,,531307,,121500,,80,,,9320,,653,,,,,,,,,,,,167358,698665
Hokuriku,1971,106220,48061,58090,35,,,11676,,,,,,,,,,,,,,2,30122,13755,4500,,1760,1006,3289,2008,1747,1153,700,,,,,,12637,961,,148979,,43130,,10,,,3187,,,,,,,,,,,,,,60421,209400
Kansai,1971,508016,305516,195372,6129,,,52109,,,,,,,,,,,,,,,152216,53177,29000,,11510,12753,16597,6623,11836,4536,5687,,,,,,68901,2105,,729133,,179687,,1544,,,13072,,675,,,,,6300,,,,,,,282178,1011311
Chugoku,1971,114563,64216,50229,118,,,39454,,,,,,,,,,,,,,,50578,12743,11627,,4026,3455,4639,4576,6590,1117,815,,,,,,44258,1157,,209399,,61200,,88,,,3195,,50,,,,,5000,,,,,,,89386,298784
Shikoku,1971,88878,48720,40008,141,,,9485,,,,,,,,,,,,,,10,26459,10035,6100,,1592,1321,2904,1549,1907,686,258,,,,,,9748,264,,125085,,36000,,32,,,1700,,,,,,,,,,,,,,48614,173699
Kyushu,1971,205414,97343,107187,873,,,27452,,,,,,,,,,,,,,11,75522,22966,17300,,4390,7436,8710,3481,8498,1514,772,,,,,,29256,136,,310192,,72000,,67,,,5033,,,,,,,,,,,,,,105545,415737
Okinawa,1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1970,74982,35181,39691,108,,,8767,,,,,,,,,,,,,,1,19060,10599,450,,1042,944,2411,1640,1662,107,171,,,,,,10592,1815,,104633,,36000,,17,,,2451,,,,,,,,,,,,,,53971,158604
Tohoku,1970,183241,84706,90725,7132,,3,25455,,,,,,,,,,,,,,674,68278,27931,10000,,4439,7425,5889,4106,5708,1815,520,,,,,,25487,,,277007,,60000,,112,,,3835,,,,,,,,,,,,,,105498,382505
Tokyo,1970,716881,350822,346029,19982,,15,48122,,,,,,,,,,,,,,33,273098,99421,47700,,15418,32537,20296,11876,34790,3373,6483,,,,,,52713,,,1042692,,234375,,99,,,12995,,343,,,,,,,,,,,,318711,1361403
Chubu,1970,267449,170593,95243,147,,1,32716,,,,,,,,,,,,,,1178,110104,34010,23000,,7096,8128,9428,7710,10807,5470,4210,,,,,,34025,,,411578,,121500,,80,,,8104,,253,,,,,,,,,,,,163453,575031
Hokuriku,1970,92662,42262,50329,36,,,9509,,,,,,,,,,,,,,2,28649,13632,4200,,1805,1035,2858,1891,1573,1039,432,,,,,,9747,,,131058,,32348,,10,,,2863,,,,,,,,,,,,,,50598,181656
Kansai,1970,418186,242752,167357,7078,,,49922,,,,,,,,,,,,,,,140099,39488,38000,,11209,10525,14726,6285,9903,3250,6259,,,,,,57978,137,,616263,,143750,,1544,,,11520,,275,,,,,6300,,,,,,,250821,867085
Chugoku,1970,84345,49190,35023,133,,,31824,,,,,,,,,,,,,,,45283,10305,11207,,3697,3288,3893,4679,5961,1073,1085,,,,,,34626,1068,,164254,,40800,,88,,,2735,,,,,,,5000,,,,,,,72318,236573
Shikoku,1970,69839,39323,30349,153,,,8394,,,,,,,,,,,,,,14,24835,9527,5850,,1493,1371,2431,1253,1805,632,385,,,,,,8624,222,,103298,,24000,,32,,,1410,,,,,,,,,,,,,,38085,141383
Kyushu,1970,166045,77964,87906,164,,,24495,,,,,,,,,,,,,,11,66239,18847,16300,,4038,3790,7611,3633,7549,1184,2892,,,,,,24523,4,,256806,,72000,,67,,,4313,,,,,,,,,,,,,,104470,361277
Okinawa,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1969,67216,31851,35162,201,,,7597,,,,,,,,,,,,,,1,19780,11794,1500,,849,486,2074,1253,1504,56,219,,,,,,9437,1813,,96433,,30000,,17,,,2126,,,,,,,,,,,,,,48155,144587
Tohoku,1969,164260,74411,82513,7332,,3,21442,,,,,,,,,,,,,,1,55326,27076,5000,,3922,2647,5082,4029,5513,1341,157,,,,,,22005,495,,241591,,60000,,112,,,3235,,,,,,,,,,,,,,102657,344248
Tokyo,1969,626519,307844,303566,15056,,19,41711,,,,,,,,,,,,,,35,247327,87471,53000,,14545,24293,19664,9707,29983,2360,5279,,,,,,45197,,,919043,,187500,,99,,,11002,,180,,,,,,,,,,,,272212,1191255
Chubu,1969,231161,148003,81689,151,,1,26067,,,,,,,,,,,,,,1317,91938,33726,13000,,6961,6143,8413,6483,9717,4471,2816,,,,,,26333,,,349431,,121500,,80,,,6979,,100,,,,,,,,,,,,159421,508853
Hokuriku,1969,85473,38745,46688,38,,,7719,,,,,,,,,,,,,,2,25045,12896,2700,,1669,467,2976,1453,1436,814,472,,,,,,8010,275,,118528,,32348,,10,,,2539,,,,,,,,,,,,,,50096,168624
Kansai,1969,347903,198654,141684,7566,,,44970,,,,,,,,,,,,,,,116381,40559,23000,,9183,8443,12568,6831,8522,2960,3962,,,,,,51359,51,,515643,,143750,,1544,,,9922,,113,,,,,6300,,,,,,,249123,764766
Chugoku,1969,69638,42305,27186,146,,,24417,,,,,,,,,,,,,,,37230,10159,7388,,2873,2298,3516,4129,5393,989,380,,,,,,25322,846,,132190,,40800,,88,,,2327,,,,,,,3500,,,,,,,71402,203591
Shikoku,1969,60894,34131,26599,164,,,7350,,,,,,,,,,,,,,,19187,7325,4250,,1372,675,2069,1049,1695,348,332,,,,,,7373,,,87454,,24000,,32,,,1170,,,,,,,,,,,,,,37311,124765
Kyushu,1969,139645,65746,73707,180,,,20991,,,,,,,,,,,,,,11,63721,20252,19000,,3486,3046,6239,2563,7188,996,589,,,,,,21054,,,224420,,54000,,67,,,3773,,,,,,,,,,,,,,88263,312684
Okinawa,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1968,64071,30860,32912,299,,,6590,,,,,,,,,,,,,,1,15323,9147,,,628,463,1810,1161,1361,48,586,,,,,,8411,1807,,87806,,30000,,17,,,1826,,,,,,,,,,,,,,47780,135586
Tohoku,1968,162670,71244,83956,7367,,3,17992,,,,,,,,,,,,,,1,46133,22476,5000,,3573,1602,4295,2279,5591,596,558,,,,,,19094,1063,,227897,,45000,,112,,,2764,,,,,,,,,,,,,,88605,316503
Tokyo,1968,547233,267414,272916,6854,,22,36773,,,,,,,,,,,,,,28,189855,69514,30000,,14471,16211,16598,8835,26626,2679,4097,,,,,,37010,,,774099,,187500,,99,,,9127,,,,,,,,,,,,,,267563,1041662
Chubu,1968,229723,136053,91434,173,,1,20787,,,,,,,,,,,,,,2062,78847,31277,13000,,5224,3920,7401,4946,8859,3212,848,,,,,,21049,117,,329620,,101250,,80,,,5965,,,,,,,,,,,,,,140319,469939
Hokuriku,1968,85408,37616,47751,40,,,6809,,,,,,,,,,,,,,1,20236,10148,2700,,1501,597,2230,1230,1284,168,244,,,,,,7172,354,,112816,,32348,,10,,,2215,,,,,,,,,,,,,,49725,162540
Kansai,1968,308110,178411,123045,6655,,,41984,,,,,,,,,,,,,,,90498,29312,15000,,7814,7019,10521,6515,7666,2728,3639,,,,,,43275,700,,441883,,143750,,1544,,,8322,,,,,,,6300,,,,,,,247452,689336
Chugoku,1968,64794,39760,24883,151,,,18440,,,,,,,,,,,,,,,27363,8201,3679,,2649,1146,2951,2562,4816,668,400,,,,,,20049,1574,,112205,,40800,,88,,,1948,,,,,,,3000,,,,,,,69187,181392
Shikoku,1968,55098,31210,23712,176,,,6542,,,,,,,,,,,,,,,15360,6685,2450,,919,478,1760,835,1643,410,124,,,,,,6654,98,,77111,,18000,,32,,,990,,,,,,,,,,,,,,31998,109109
Kyushu,1968,129936,59325,70423,189,,,19491,,,,,,,,,,,,,,,52366,16325,15000,,2887,2197,5352,2599,6514,946,204,,,,,,19526,,,201828,,54000,,67,,,3233,,,,,,,,,,,,,,87631,289459
Okinawa,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1967,61182,28462,32325,396,,,5802,,,,,,,,,,,,,,,13506,8349,,,698,310,1670,970,1285,16,104,,,,,,7792,1983,,82481,,30000,,17,,,1526,,,,,,,,,,,,,,47454,129935
Tohoku,1967,153770,64895,81216,7655,,3,14456,,,,,,,,,,,,,,1,42647,23195,4000,,3111,979,4158,1998,4469,312,299,,,,,,16242,1763,,212659,,45000,,112,,,2314,,,,,,,,,,,,,,87977,300637
Tokyo,1967,493610,237275,246811,9471,,25,32230,,,,,,,,,,,,,,28,180815,65295,40000,,12742,12167,14765,6733,23428,2210,2755,,,,,,32289,,,706714,,150000,,99,,,7534,,,,,,,,,,,,,,233005,939719
Chubu,1967,228167,118089,108258,212,,1,18280,,,,,,,,,,,,,,1607,75342,30993,13001,,5373,3821,6839,4004,8120,2419,639,,,,,,18995,678,,322505,,101250,,80,,,4951,,,,,,,,,,,,,,139025,461530
Hokuriku,1967,81073,33939,47092,42,,,6170,,,,,,,,,,,,,,1,21980,12051,2700,,1615,719,2190,1047,1052,273,224,,,,,,6904,731,,109957,,32348,,10,,,1891,,,,,,,,,,,,,,49364,159321
Kansai,1967,263875,143953,113395,6527,,,39166,,,,,,,,,,,,,,,86329,29454,16000,,7870,5916,9251,5429,5969,2749,3397,,,,,,41058,1408,,391262,,115000,,1544,,,7122,,,,,,,,,,,,,,220134,611396
Chugoku,1967,65495,37502,27831,163,,,13731,,,,,,,,,,,,,,,27449,10153,3629,,2139,942,2868,2452,4261,661,184,,,,,,15511,1767,,108456,,27064,,39,,,1677,,,,,,,,,,,,,,56504,164959
Shikoku,1967,49880,27357,22336,187,,,5807,,,,,,,,,,,,,,,15125,6479,2100,,1121,951,1656,756,1580,398,40,,,,,,5986,172,,70991,,18000,,32,,,810,,,,,,,,,,,,,,31813,102804
Kyushu,1967,119558,53562,65780,205,,,17061,,,,,,,,,,,,,,12,44819,17850,7500,,2959,1788,4992,2146,5766,1221,296,,,,,,17081,,,181458,,54000,,67,,,2693,,,,,,,,,,,,,,87055,268513
Okinawa,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1965,62212,26459,35157,596,,,3816,,,,,,,,,,,,,,,12860,8088,,,683,321,1464,984,984,12,149,,,,,,7152,2117,,82224,,25000,,17,,,1026,,,,,,,,,,,,,,42617,124841
Tohoku,1965,161502,63463,90037,8000,,2,8592,,,,,,,,,,,,,,1,39641,21987,6000,,2148,556,3778,1700,170,126,175,,,,,,15711,2607,,216855,,37500,,112,,,1552,,,,,,,,,,,,,,80711,297566
Tokyo,1965,407181,188606,211872,6653,,28,24995,,,,,,,,,,,,,,22,143035,59394,30000,,9397,7573,10590,4301,4301,1607,1425,,,,,,25019,,,575235,,120000,,99,,,4684,,,,,,,,,,,,,,228206,803441
Chubu,1965,224993,96190,126675,214,,,11491,,,,,,,,,,,,,,1914,57484,21501,13010,,3091,2177,6248,3801,3801,1765,703,,,,,,11899,396,,294376,,101250,,80,,,2923,,,,,,,,,,,,,,136682,431058
Hokuriku,1965,81084,28470,52466,148,,,3543,,,,,,,,,,,,,,1,17194,10339,1200,,669,454,1849,701,701,99,117,,,,,,3825,282,,102103,,32348,,10,,,1243,,,,,,,,,,,,,,48684,150787
Kansai,1965,213478,104384,102699,6363,,,32884,,,,,,,,,,,,,,32,70379,24892,14500,,5578,5032,7230,5720,5720,1299,1844,,,,,,34553,1200,,318410,,88344,,1491,,,4922,,,,,,,,,,,,,,194186,512595
Chugoku,1965,71024,34628,35948,447,,,9944,,,,,,,,,,,,,,,23911,10576,3263,,1240,654,2619,1852,1852,384,194,,,,,,12479,2531,,107413,,24604,,39,,,1164,,,,,,,,,,,,,,54017,161430
Shikoku,1965,45162,21185,23669,308,,,4471,,,,,,,,,,,,,,,13569,6810,1830,,759,6810,1476,682,682,122,49,,,,,,6931,249,,65663,,15000,,32,,,510,,,,,,,,,,,,,,28943,94606
Kyushu,1965,122645,49032,73367,235,,,11653,,,,,,,,,,,,,,12,36349,16673,5500,,1783,1376,4136,1915,1915,618,227,,,,,,16616,162,,175610,,40500,,67,,,1804,,,,,,,,,,,,,,74535,250145
Okinawa,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1964,61948,24857,36915,176,,,2881,,,,,,,,,,,,,,,12609,8332,,,679,157,1420,992,876,5,111,,,,,,6191,2124,,80747,,25000,,17,,,776,,,,,,,,,,,,,,42342,123090
Tohoku,1964,168619,58122,102493,8000,,2,5362,,,,,,,,,,,,,,1,39278,28204,,,2293,682,3467,1561,2520,135,320,,,,,,10519,1539,,218416,,30000,,112,,,1241,,,,,,,,,,,,,,73956,292372
Tokyo,1964,373635,162964,206836,3798,,15,18595,,,,,,,,,,,,,,22,115674,48798,20000,,8240,4963,8983,6262,15082,1038,1852,,,,,,18617,,,507927,,120000,,99,,,3484,,,,,,,,,,,,,,202831,710758
Chubu,1964,209112,80181,124892,1969,,,8787,,,,,,,,,,,,,,2070,56398,21801,16116,,3809,2581,3429,1881,4159,2029,504,,,,,,8798,,,274307,,81000,,80,,,2096,,,,,,,,,,,,,,118507,392814
Hokuriku,1964,81159,24857,56164,138,,,4418,,,,,,,,,,,,,,1,18326,9264,3200,,1062,220,1861,896,1203,109,355,,,,,,4418,,,103904,,26956,,10,,,973,,,,,,,,,,,,,,44115,148019
Kansai,1964,200560,91449,102576,6462,,,28447,,,,,,,,,,,,,,74,59623,19647,11500,,5436,3179,6439,6046,3575,1095,2524,,,,,,28753,,,288937,,88344,,1491,,,3922,,,,,,,,,,,,,,191526,480463
Chugoku,1964,71309,32198,38362,749,,,8755,,,,,,,,,,,,,,,22270,9760,3128,,1329,690,2405,1737,2495,489,202,,,,,,11223,2465,,104802,,24604,,39,,,917,,,,,,,,,,,,,,53133,157935
Shikoku,1964,45376,19073,2592,375,,,3978,,,,,,,,,,,,,,,11237,5122,1730,,729,656,1316,475,909,235,29,,,,,,6323,446,,62936,,12000,,32,,,390,,,,,,,,,,,,,,26256,89192
Kyushu,1964,121722,46583,74904,221,,1,8525,,,,,,,,,,,,,,12,31545,16367,2400,,2264,1037,3417,2007,3046,473,301,,,,,,14098,774,,167365,,40500,,67,,,1399,,,,,,,,,,,,,,74086,241451
Okinawa,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1963,62422,22499,39734,189,,,1968,,,,,,,,,,,,,,,11562,7603,,,573,150,1273,1045,788,7,91,,,,,,4857,2150,,78841,,25000,,17,,,526,,,,,,,,,,,,,,42070,120911
Tohoku,1963,169952,52018,109931,8000,,2,2829,,,,,,,,,,,,,,1,34789,25287,,,1916,459,3295,1497,1985,77,179,,,,,,6137,1345,,210878,,30000,,112,,,941,,,,,,,,,,,,,,73631,284510
Tokyo,1963,370076,149931,214739,5391,,15,13965,,,,,,,,,,,,,,,102573,35353,20000,,7950,4456,8363,7396,12903,1567,4202,,,,,,13985,,,486634,,120000,,99,,,2284,,,,,,,,,,,,,,201245,687879
Chubu,1963,191646,68497,117421,3495,,,9517,,,,,,,,,,,,,,2232,51570,16736,16123,,4208,2026,4095,2830,3403,1164,898,,,,,,9517,,,252733,,81000,,80,,,1331,,,,,,,,,,,,,,117429,370162
Hokuriku,1963,78048,21002,56984,62,,,4094,,,,,,,,,,,,,,1,19610,8629,5200,,779,628,1686,1395,1013,65,140,,,,,,4108,14,,101766,,26956,,10,,,698,,,,,,,,,,,,,,43836,145602
Kansai,1963,196042,88049,100990,6886,,,23527,,,,,,,,,,,,,,117,57281,15827,13000,,4527,2964,6318,6896,3114,974,3485,,,,,,24756,1026,,278079,,66615,,1490,,,3122,,,,,,,,,,,,,,171435,449514
Chugoku,1963,71234,30150,40872,213,,,7632,,,,,,,,,,,,,,,18842,8144,3128,,1040,540,2297,1156,2145,159,200,,,,,,11267,3059,,101343,,24604,,39,,,670,,,,,,,,,,,,,,52315,153658
Shikoku,1963,42055,16752,24973,329,,,3470,,,,,,,,,,,,,,,10631,4675,2150,,540,641,1209,562,740,33,46,,,,,,5543,1530,,58229,,12000,,32,,,270,,,,,,,,,,,,,,26133,86362
Kyushu,1963,124768,44870,79504,381,,1,5980,,,,,,,,,,,,,,12,27160,14606,1400,,1982,932,3196,1908,2508,255,126,,,,,,9897,1623,,161825,,40500,,67,,,994,,,,,,,,,,,,,,73634,235460
Okinawa,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hokkaido,1961,59888,26299,33098,491,,,4994,,,,,,,,,,,,,,,16578,10934,,,787,324,1542,1249,1173,13,490,,,,,,8655,2117,,85121,,20000,,17,,,1276,,,,,,,,,,,,,,42899,128020
Tohoku,1961,15301,60020,85145,7833,,2,11372,,,,,,,,,,,,,,1,80906,32056,5000,,2796,935,3742,1713,3664,294,604,,,,,,19313,2930,,223220,,37500,,112,,,1928,,,,,,,,,,,,,,81127,304347
Tokyo,1961,426475,193915,223267,9241,,24,29719,,,,,,,,,,,,,,28,171441,86375,20000,,12487,10934,11884,6496,18526,2261,1950,,,,,,30263,515,,628179,,150000,,99,,,6034,,,,,,,,,,,,,,231315,859494
Chubu,1961,230521,104164,124397,401,,1,15635,,,,,,,,,,,,,,1758,74571,35443,13003,,4421,1907,6284,3913,6591,1921,974,,,,,,17365,1714,,322457,,10125,,80,,,3937,,,,,,,,,,,,,,137839,460297
Hokuriku,1961,81321,30143,51133,44,,,4466,,,,,,,,,,,,,,1,20706,12357,1700,,977,504,2109,1167,1563,105,123,,,,,,8647,1180,,107674,,32348,,10,,,1567,,,,,,,,,,,,,,47016,156690
